Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0340329318,47.7108642682,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.6913585830,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.6718528977,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.6523472125,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,47.6328415273,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0516938503,47.5811476770,9.0909090909,15.6881624856,1.0000000000,0.9829760000,215.6715932027,0,0,0,4,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.5576574713,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.5341672657,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.5106770600,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,47.4871868543,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0437620534,47.4434248010,14.2857142857,14.7553671503,1.0000000000,0.9781120000,216.7440947458,0,0,0,19,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.4208452266,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.3982656523,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.3756860780,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,47.3531065037,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0435619970,47.3095445067,14.2857142857,14.6705627570,1.0000000000,0.9781120000,216.7440947458,0,0,0,20,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,47.2871198640,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
