Node,Death_Round
0,1771
1,1721
2,1746
3,1736
4,1756
5,1766
6,1746
7,1743
8,1701
9,1761
10,1716
11,1766
12,1741
13,1721
14,1751
15,1758
16,1676
17,1701
18,1761
19,1746
20,1756
21,1766
22,1721
23,1756
24,1741
25,1721
26,1691
27,1756
28,1701
29,1771
30,1761
31,1731
32,1756
33,1661
34,1756
35,1726
36,1723
37,1746
38,1771
39,1731
40,1741
41,1751
42,1756
43,1761
44,1751
45,1737
46,1751
47,1771
48,1747
49,1734
50,1741
51,1706
52,1651
53,1731
54,1726
55,1756
56,1681
57,1771
58,1771
59,1716
60,1756
61,1761
62,1696
63,1711
64,1746
65,1696
66,1766
67,1771
68,1656
69,1731
70,1751
71,1741
72,1736
73,1756
74,1696
75,1731
76,1736
77,1751
78,1756
79,1761
80,1771
81,1741
82,1726
83,1711
84,1731
85,1726
86,1771
87,1751
88,1771
89,1736
90,1741
91,1696
92,1651
93,1752
94,1728
95,1726
96,1763
97,1736
98,1755
99,1746
