Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0340329318,40.9408642682,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,40.9213585830,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,40.9018528977,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,40.8823472125,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,40.8628415273,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,9,100,100,0,0,1,109,1073,100,100,0.0483216120,40.8145199153,11.1111111111,15.8577651966,1.0000000000,0.9805440000,216.2065139351,0,0,0,4,0
7,100,0,9,100,100,0,0,0,0,0,100,100,0.0236993989,40.7908205164,11.1111111111,15.8577651966,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
8,100,0,9,100,100,0,0,0,0,0,100,100,0.0236993989,40.7671211176,11.1111111111,15.8577651966,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
9,100,0,9,100,100,0,0,0,0,0,100,100,0.0236993989,40.7434217187,11.1111111111,15.8577651966,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
10,100,0,9,100,100,0,0,0,0,0,100,100,0.0236993989,40.7197223199,11.1111111111,15.8577651966,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
11,100,0,6,100,100,0,0,1,106,782,100,100,0.0422224694,40.6774998504,16.6666666667,14.9249686334,1.0000000000,0.9768960000,217.0138888889,0,0,0,18,0
12,100,0,6,100,100,0,0,0,0,0,100,100,0.0228348895,40.6546649609,16.6666666667,14.9249686334,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
13,100,0,6,100,100,0,0,0,0,0,100,100,0.0228348895,40.6318300714,16.6666666667,14.9249686334,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
14,100,0,6,100,100,0,0,0,0,0,100,100,0.0228348895,40.6089951819,16.6666666667,14.9249686334,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
15,100,0,6,100,100,0,0,0,0,0,100,100,0.0228348895,40.5861602924,16.6666666667,14.9249686334,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
16,100,0,5,100,100,0,0,1,105,685,100,100,0.0417852887,40.5443750037,20.0000000000,16.0273596524,1.0000000000,0.9756800000,217.2843555264,0,0,0,6,0
