Node,Death_Round
0,1116
1,1116
2,1091
3,1096
4,1121
5,1126
6,1151
7,1101
8,1136
9,1166
10,1001
11,1111
12,1131
13,1126
14,1101
15,1101
16,1121
17,1131
18,1091
19,1146
20,1146
21,1141
22,1076
23,1166
24,1161
25,1121
26,1156
27,1146
28,1091
29,1146
30,1106
31,1151
32,1111
33,1051
34,1166
35,1126
36,1146
37,1116
38,1085
39,1151
40,1141
41,1136
42,1076
43,1141
44,1136
45,1111
46,1086
47,1056
48,1091
49,1131
50,1106
51,1141
52,1066
53,1131
54,1151
55,1091
56,1166
57,1146
58,1096
59,1131
60,1076
61,1051
62,1166
63,1136
64,1116
65,1141
66,1091
67,1131
68,991
69,1131
70,1091
71,1136
72,1141
73,1166
74,1146
75,1141
76,1066
77,1126
78,1111
79,1156
80,1141
81,1101
82,1166
83,1126
84,1151
85,1141
86,1096
87,1166
88,1161
89,1086
90,1161
91,1021
92,1136
93,1096
94,1116
95,1126
96,1161
97,1166
98,1126
99,1086
