Node,Death_Round
0,1201
1,1196
2,1176
3,1111
4,1186
5,1185
6,1196
7,1171
8,1181
9,1186
10,1151
11,1211
12,1151
13,1186
14,1195
15,1201
16,1166
17,1131
18,1201
19,1196
20,1180
21,1081
22,1176
23,1071
24,1186
25,1201
26,1106
27,1141
28,1211
29,1206
30,1156
31,1116
32,1191
33,1171
34,1201
35,1146
36,1201
37,1166
38,1121
39,1161
40,1116
41,1156
42,1199
43,1186
44,1201
45,1186
46,1206
47,1207
48,1206
49,1196
50,1171
51,1156
52,1171
53,1193
54,1206
55,1178
56,1126
57,1196
58,1156
59,1196
60,1151
61,1146
62,1151
63,1167
64,1106
65,1181
66,1206
67,1188
68,1071
69,1211
70,1206
71,1196
72,1191
73,1156
74,1203
75,1136
76,1196
77,1181
78,1146
79,1061
80,1161
81,1156
82,1191
83,1136
84,1151
85,1171
86,1206
87,1191
88,1176
89,1211
90,1205
91,1186
92,1116
93,1196
94,1173
95,1186
96,1197
97,1186
98,1186
99,1136
