Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0585370518,47.6659769482,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0331478852,47.6328290630,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0331478852,47.5996811777,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0331478852,47.5665332925,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0331478852,47.5333854073,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0909298903,47.4424555170,9.0909090909,15.6881624856,1.0000000000,0.9829760000,215.6715932027,0,0,0,4,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0411392057,47.4013163113,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0411392057,47.3601771057,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0411392057,47.3190379000,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0411392057,47.2778986943,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0765861334,47.2013125610,14.2857142857,14.7553671503,1.0000000000,0.9781120000,216.7440947458,0,0,0,19,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0391791743,47.1621333866,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0391791743,47.1229542123,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0391791743,47.0837750380,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0391791743,47.0445958637,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0762906770,46.9683051867,14.2857142857,14.6705627570,1.0000000000,0.9781120000,216.7440947458,0,0,0,20,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0389288427,46.9293763440,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0389288427,46.8904475013,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0389288427,46.8515186586,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0389288427,46.8125898159,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
21,100,0,5,100,100,0,0,1,105,685,100,100,0.0674861817,46.7451036341,20.0000000000,13.6529681699,1.0000000000,0.9756800000,217.2843555264,0,0,0,34,0
22,100,0,5,100,100,0,0,0,0,0,100,100,0.0363372369,46.7087663972,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
23,100,0,5,100,100,0,0,0,0,0,100,100,0.0363372369,46.6724291603,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
24,100,0,5,100,100,0,0,0,0,0,100,100,0.0363372369,46.6360919233,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
25,100,0,5,100,100,0,0,0,0,0,100,100,0.0363372369,46.5997546864,20.0000000000,13.6529681699,1.0000000000,0.8480000000,250.0000000000,0,0,0,34,0
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0748084197,46.5249462667,16.6666666667,15.0945654386,1.0000000000,0.9768960000,217.0138888889,0,0,0,16,0
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0404987392,46.4844475275,16.6666666667,15.0945654386,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0404987392,46.4439487883,16.6666666667,15.0945654386,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
29,100,0,6,100,100,0,0,0,0,0,100,100,0.0404987392,46.4034500490,16.6666666667,15.0945654386,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
30,100,0,6,100,100,0,0,0,0,0,100,100,0.0404987392,46.3629513098,16.6666666667,15.0945654386,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
31,100,0,9,100,100,0,0,1,109,1073,100,100,0.0850870588,46.2778642510,11.1111111111,15.6881796247,1.0000000000,0.9805440000,216.2065139351,0,0,0,6,0
32,100,0,9,100,100,0,0,0,0,0,100,100,0.0414869710,46.2363772800,11.1111111111,15.6881796247,1.0000000000,0.8480000000,250.0000000000,0,0,0,6,0
