Node,Death_Round
0,1971
1,1981
2,1941
3,1976
4,1951
5,1981
6,1971
7,1965
8,1901
9,1976
10,1956
11,1961
12,1976
13,1956
14,1951
15,1948
16,1981
17,1926
18,1966
19,1956
20,1966
21,1974
22,1951
23,1926
24,1951
25,1951
26,1976
27,1976
28,1931
29,1971
30,1956
31,1921
32,1961
33,1941
34,1901
35,1962
36,1976
37,1921
38,1946
39,1971
40,1981
41,1946
42,1981
43,1971
44,1941
45,1966
46,1961
47,1976
48,1976
49,1954
50,1971
51,1976
52,1976
53,1961
54,1981
55,1956
56,1886
57,1976
58,1916
59,1977
60,1986
61,1950
62,1942
63,1911
64,1936
65,1881
66,1856
67,1981
68,1931
69,1956
70,1951
71,1936
72,1981
73,1951
74,1976
75,1931
76,1933
77,1981
78,1931
79,1911
80,1981
81,1911
82,1901
83,1976
84,1961
85,1916
86,1926
87,1971
88,1981
89,1968
90,1971
91,1911
92,1886
93,1958
94,1938
95,1976
96,1951
97,1981
98,1966
99,1981
