Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0340329318,45.1408642682,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,45.1213585830,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,45.1018528977,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,45.0823472125,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,45.0628415273,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0516938503,45.0111476770,9.0909090909,15.6881624856,1.0000000000,0.9829760000,215.6715932027,0,0,0,4,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,44.9876574713,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,44.9641672657,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,44.9406770600,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,44.9171868543,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0437620534,44.8734248010,14.2857142857,14.7553671503,1.0000000000,0.9781120000,216.7440947458,0,0,0,19,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,44.8508452266,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,44.8282656523,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,44.8056860780,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,44.7831065037,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0405263703,44.7425801333,16.6666666667,13.7377654654,1.0000000000,0.9768960000,217.0138888889,0,0,0,32,0
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0210782259,44.7215019074,16.6666666667,13.7377654654,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0210782259,44.7004236815,16.6666666667,13.7377654654,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0210782259,44.6793454556,16.6666666667,13.7377654654,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0210782259,44.6582672297,16.6666666667,13.7377654654,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0426510912,44.6156161385,16.6666666667,15.2641726270,1.0000000000,0.9768960000,217.0138888889,0,0,0,14,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0233045065,44.5923116320,16.6666666667,15.2641726270,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0233045065,44.5690071255,16.6666666667,15.2641726270,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0233045065,44.5457026190,16.6666666667,15.2641726270,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0233045065,44.5223981125,16.6666666667,15.2641726270,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0417078417,44.4806902708,16.6666666667,14.7553789501,1.0000000000,0.9768960000,217.0138888889,0,0,0,20,0
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0223728504,44.4583174205,16.6666666667,14.7553789501,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0223728504,44.4359445701,16.6666666667,14.7553789501,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
29,100,0,6,100,100,0,0,0,0,0,100,100,0.0223728504,44.4135717198,16.6666666667,14.7553789501,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
30,100,0,6,100,100,0,0,0,0,0,100,100,0.0223728504,44.3911988694,16.6666666667,14.7553789501,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0499124730,44.3412863964,10.0000000000,15.2641678078,1.0000000000,0.9817600000,215.9387222947,0,0,0,10,0
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0233867903,44.3178996061,10.0000000000,15.2641678078,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0233867903,44.2945128158,10.0000000000,15.2641678078,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0233867903,44.2711260255,10.0000000000,15.2641678078,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0233867903,44.2477392351,10.0000000000,15.2641678078,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
36,100,0,4,100,100,0,0,1,104,588,100,100,0.0369023409,44.2108368943,25.0000000000,13.3137706280,1.0000000000,0.9744640000,217.5554971759,0,0,0,39,0
37,100,0,4,100,100,0,0,0,0,0,100,100,0.0208844259,44.1899524683,25.0000000000,13.3137706280,1.0000000000,0.8480000000,250.0000000000,0,0,0,39,0
38,100,0,4,100,100,0,0,0,0,0,100,100,0.0208844259,44.1690680424,25.0000000000,13.3137706280,1.0000000000,0.8480000000,250.0000000000,0,0,0,39,0
39,100,0,4,100,100,0,0,0,0,0,100,100,0.0208844259,44.1481836165,25.0000000000,13.3137706280,1.0000000000,0.8480000000,250.0000000000,0,0,0,39,0
40,100,0,4,100,100,0,0,0,0,0,100,100,0.0208844259,44.1272991905,25.0000000000,13.3137706280,1.0000000000,0.8480000000,250.0000000000,0,0,0,39,0
41,100,0,7,100,100,0,0,1,107,879,100,100,0.0436074102,44.0836917803,14.2857142857,14.8401703387,1.0000000000,0.9781120000,216.7440947458,0,0,0,18,0
42,100,0,7,100,100,0,0,0,0,0,100,100,0.0224913930,44.0612003874,14.2857142857,14.8401703387,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
43,100,0,7,100,100,0,0,0,0,0,100,100,0.0224913930,44.0387089944,14.2857142857,14.8401703387,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
44,100,0,7,100,100,0,0,0,0,0,100,100,0.0224913930,44.0162176014,14.2857142857,14.8401703387,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
45,100,0,7,100,100,0,0,0,0,0,100,100,0.0224913930,43.9937262084,14.2857142857,14.8401703387,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
46,100,0,7,100,100,0,0,1,107,879,100,100,0.0449617308,43.9487644776,14.2857142857,15.6881690098,1.0000000000,0.9781120000,216.7440947458,0,0,0,8,0
47,100,0,7,100,100,0,0,0,0,0,100,100,0.0238293668,43.9249351107,14.2857142857,15.6881690098,1.0000000000,0.8480000000,250.0000000000,0,0,0,8,0
48,100,0,7,100,100,0,0,0,0,0,100,100,0.0238293668,43.9011057439,14.2857142857,15.6881690098,1.0000000000,0.8480000000,250.0000000000,0,0,0,8,0
49,100,0,7,100,100,0,0,0,0,0,100,100,0.0238293668,43.8772763771,14.2857142857,15.6881690098,1.0000000000,0.8480000000,250.0000000000,0,0,0,8,0
50,100,0,7,100,100,0,0,0,0,0,100,100,0.0238293668,43.8534470103,14.2857142857,15.6881690098,1.0000000000,0.8480000000,250.0000000000,0,0,0,8,0
51,100,0,7,100,100,0,0,1,107,879,100,100,0.0447512695,43.8086957408,14.2857142857,15.5185628432,1.0000000000,0.9781120000,216.7440947458,0,0,0,10,0
52,100,0,7,100,100,0,0,0,0,0,100,100,0.0236185967,43.7850771440,14.2857142857,15.5185628432,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
53,100,0,7,100,100,0,0,0,0,0,100,100,0.0236185967,43.7614585473,14.2857142857,15.5185628432,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
54,100,0,7,100,100,0,0,0,0,0,100,100,0.0236185967,43.7378399505,14.2857142857,15.5185628432,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
55,100,0,7,100,100,0,0,0,0,0,100,100,0.0236185967,43.7142213538,14.2857142857,15.5185628432,1.0000000000,0.8480000000,250.0000000000,0,0,0,10,0
56,100,0,5,100,100,0,0,1,105,685,100,100,0.0406179260,43.6736034278,20.0000000000,15.1793743402,1.0000000000,0.9756800000,217.2843555264,0,0,0,16,0
57,100,0,5,100,100,0,0,0,0,0,100,100,0.0230634794,43.6505399484,20.0000000000,15.1793743402,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
58,100,0,5,100,100,0,0,0,0,0,100,100,0.0230634794,43.6274764690,20.0000000000,15.1793743402,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
59,100,0,5,100,100,0,0,0,0,0,100,100,0.0230634794,43.6044129895,20.0000000000,15.1793743402,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
60,100,0,5,100,100,0,0,0,0,0,100,100,0.0230634794,43.5813495101,20.0000000000,15.1793743402,1.0000000000,0.8480000000,250.0000000000,0,0,0,16,0
61,100,0,2,100,100,0,0,1,102,394,100,100,0.0385015153,43.5428479948,50.0000000000,16.0273413922,1.0000000000,0.9720320000,218.0998156439,0,0,0,9,0
62,100,0,2,100,100,0,0,0,0,0,100,100,0.0260844448,43.5167635500,50.0000000000,16.0273413922,1.0000000000,0.8480000000,250.0000000000,0,0,0,9,0
63,100,0,2,100,100,0,0,0,0,0,100,100,0.0260844448,43.4906791052,50.0000000000,16.0273413922,1.0000000000,0.8480000000,250.0000000000,0,0,0,9,0
64,100,0,2,100,100,0,0,0,0,0,100,100,0.0260844448,43.4645946604,50.0000000000,16.0273413922,1.0000000000,0.8480000000,250.0000000000,0,0,0,9,0
65,100,0,2,100,100,0,0,0,0,0,100,100,0.0260844448,43.4385102155,50.0000000000,16.0273413922,1.0000000000,0.8480000000,250.0000000000,0,0,0,9,0
66,100,0,4,100,100,0,0,1,104,588,100,100,0.0388637655,43.3996464501,25.0000000000,14.9249867772,1.0000000000,0.9744640000,217.5554971759,0,0,0,20,0
67,100,0,4,100,100,0,0,0,0,0,100,100,0.0230553524,43.3765910977,25.0000000000,14.9249867772,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
68,100,0,4,100,100,0,0,0,0,0,100,100,0.0230553524,43.3535357453,25.0000000000,14.9249867772,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
69,100,0,4,100,100,0,0,0,0,0,100,100,0.0230553524,43.3304803930,25.0000000000,14.9249867772,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
70,100,0,4,100,100,0,0,0,0,0,100,100,0.0230553524,43.3074250406,25.0000000000,14.9249867772,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
71,100,0,1,100,100,0,0,1,101,297,100,100,0.0316171644,43.2758078762,100.0000000000,12.3809386483,1.0000000000,0.9708160000,218.3729975608,0,0,0,53,0
72,100,0,1,100,100,0,0,0,0,0,100,100,0.0208694423,43.2549384339,100.0000000000,12.3809386483,1.0000000000,0.8480000000,250.0000000000,0,0,0,53,0
73,100,0,1,100,100,0,0,0,0,0,100,100,0.0208694423,43.2340689915,100.0000000000,12.3809386483,1.0000000000,0.8480000000,250.0000000000,0,0,0,53,0
74,100,0,1,100,100,0,0,0,0,0,100,100,0.0208694423,43.2131995492,100.0000000000,12.3809386483,1.0000000000,0.8480000000,250.0000000000,0,0,0,53,0
75,100,0,1,100,100,0,0,0,0,0,100,100,0.0208694423,43.1923301069,100.0000000000,12.3809386483,1.0000000000,0.8480000000,250.0000000000,0,0,0,53,0
76,100,0,5,100,100,0,0,1,104,685,100,100,0.0370035321,43.1553265748,20.0000000000,11.6177652034,1.0000000000,0.9744640000,217.5554971759,0,0,0,58,0
77,100,0,5,100,100,0,0,0,0,0,100,100,0.0188824472,43.1364441276,20.0000000000,11.6177652034,1.0000000000,0.8480000000,250.0000000000,0,0,0,58,0
78,100,0,5,100,100,0,0,0,0,0,100,100,0.0188824472,43.1175616804,20.0000000000,11.6177652034,1.0000000000,0.8480000000,250.0000000000,0,0,0,58,0
79,100,0,5,100,100,0,0,0,0,0,100,100,0.0188824472,43.0986792333,20.0000000000,11.6177652034,1.0000000000,0.8480000000,250.0000000000,0,0,0,58,0
80,100,0,5,100,100,0,0,0,0,0,100,100,0.0188824472,43.0797967861,20.0000000000,11.6177652034,1.0000000000,0.8480000000,250.0000000000,0,0,0,58,0
81,100,0,7,100,100,0,0,1,107,879,100,100,0.0446783378,43.0351184484,14.2857142857,15.7729731514,1.0000000000,0.9781120000,216.7440947458,0,0,0,7,0
82,100,0,7,100,100,0,0,0,0,0,100,100,0.0236103556,43.0115080927,14.2857142857,15.7729731514,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
83,100,0,7,100,100,0,0,0,0,0,100,100,0.0236103556,42.9878977371,14.2857142857,15.7729731514,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
84,100,0,7,100,100,0,0,0,0,0,100,100,0.0236103556,42.9642873815,14.2857142857,15.7729731514,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
85,100,0,7,100,100,0,0,0,0,0,100,100,0.0236103556,42.9406770259,14.2857142857,15.7729731514,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
86,100,0,2,100,100,0,0,1,102,394,100,100,0.0309188577,42.9097581682,50.0000000000,10.6001517356,1.0000000000,0.9720320000,218.0998156439,0,0,0,73,0
87,100,0,2,100,100,0,0,0,0,0,100,100,0.0179723069,42.8917858613,50.0000000000,10.6001517356,1.0000000000,0.8480000000,250.0000000000,0,0,0,73,0
88,100,0,2,100,100,0,0,0,0,0,100,100,0.0179723069,42.8738135544,50.0000000000,10.6001517356,1.0000000000,0.8480000000,250.0000000000,0,0,0,73,0
89,100,0,2,100,100,0,0,0,0,0,100,100,0.0179723069,42.8558412475,50.0000000000,10.6001517356,1.0000000000,0.8480000000,250.0000000000,0,0,0,73,0
90,100,0,2,100,100,0,0,0,0,0,100,100,0.0179723069,42.8378689406,50.0000000000,10.6001517356,1.0000000000,0.8480000000,250.0000000000,0,0,0,73,0
91,100,0,40,100,100,0,0,1,130,4080,100,100,0.1011769754,42.7366919651,2.5000000000,13.3985468944,1.0000000000,1.0060800000,210.7188295165,0,0,0,2,0
92,100,0,40,100,100,0,0,0,0,0,100,100,0.0210947238,42.7155972414,2.5000000000,13.3985468944,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
93,100,0,40,100,100,0,0,0,0,0,100,100,0.0210947238,42.6945025176,2.5000000000,13.3985468944,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
94,100,0,40,100,100,0,0,0,0,0,100,100,0.0210947238,42.6734077939,2.5000000000,13.3985468944,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
95,100,0,40,100,100,0,0,0,0,0,100,100,0.0210947238,42.6523130701,2.5000000000,13.3985468944,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
96,100,0,22,100,100,0,0,1,119,2334,100,100,0.0705608338,42.5817522363,4.5454545455,14.9249599150,1.0000000000,0.9927040000,213.5581200438,0,0,0,2,0
97,100,0,22,100,100,0,0,0,0,0,100,100,0.0226844490,42.5590677873,4.5454545455,14.9249599150,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
98,100,0,22,100,100,0,0,0,0,0,100,100,0.0226844490,42.5363833382,4.5454545455,14.9249599150,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
99,100,0,22,100,100,0,0,0,0,0,100,100,0.0226844490,42.5136988892,4.5454545455,14.9249599150,1.0000000000,0.8480000000,250.0000000000,0,0,0,2,0
