Node,Death_Round
0,1616
1,1601
2,1606
3,1541
4,1541
5,1586
6,1536
7,1531
8,1556
9,1616
10,1576
11,1541
12,1606
13,1601
14,1566
15,1541
16,1601
17,1556
18,1536
19,1611
20,1541
21,1596
22,1556
23,1561
24,1616
25,1576
26,1531
27,1596
28,1606
29,1608
30,1604
31,1521
32,1571
33,1616
34,1601
35,1531
36,1581
37,1551
38,1561
39,1626
40,1606
41,1531
42,1611
43,1616
44,1621
45,1576
46,1591
47,1596
48,1561
49,1602
50,1606
51,1616
52,1583
53,1588
54,1592
55,1616
56,1541
57,1591
58,1581
59,1596
60,1598
61,1536
62,1566
63,1546
64,1595
65,1621
66,1596
67,1611
68,1521
69,1616
70,1571
71,1566
72,1571
73,1526
74,1496
75,1586
76,1596
77,1591
78,1556
79,1496
80,1586
81,1536
82,1556
83,1571
84,1596
85,1531
86,1616
87,1596
88,1566
89,1601
90,1556
91,1491
92,1566
93,1586
94,1606
95,1611
96,1566
97,1579
98,1581
99,1601
