Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0340329318,36.0408642682,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,36.0213585830,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,36.0018528977,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,35.9823472125,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,35.9628415273,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,8,100,100,0,0,1,108,976,100,100,0.0458591649,35.9169823623,12.5000000000,15.3489701945,1.0000000000,0.9793280000,216.4749705921,0,0,0,11,0
7,100,0,8,100,100,0,0,0,0,0,100,100,0.0230010738,35.8939812886,12.5000000000,15.3489701945,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
8,100,0,8,100,100,0,0,0,0,0,100,100,0.0230010738,35.8709802148,12.5000000000,15.3489701945,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
9,100,0,8,100,100,0,0,0,0,0,100,100,0.0230010738,35.8479791410,12.5000000000,15.3489701945,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
10,100,0,8,100,100,0,0,0,0,0,100,100,0.0230010738,35.8249780673,12.5000000000,15.3489701945,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
11,100,0,6,100,100,0,0,1,106,782,100,100,0.0432245657,35.7817535016,16.6666666667,15.8577731032,1.0000000000,0.9768960000,217.0138888889,0,0,0,7,0
12,100,0,6,100,100,0,0,0,0,0,100,100,0.0239243056,35.7578291960,16.6666666667,15.8577731032,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
13,100,0,6,100,100,0,0,0,0,0,100,100,0.0239243056,35.7339048904,16.6666666667,15.8577731032,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
14,100,0,6,100,100,0,0,0,0,0,100,100,0.0239243056,35.7099805848,16.6666666667,15.8577731032,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
15,100,0,6,100,100,0,0,0,0,0,100,100,0.0239243056,35.6860562791,16.6666666667,15.8577731032,1.0000000000,0.8480000000,250.0000000000,0,0,0,7,0
16,100,0,5,100,100,0,0,1,105,685,100,100,0.0412136750,35.6448426042,20.0000000000,15.6033756186,1.0000000000,0.9756800000,217.2843555264,0,0,0,11,0
17,100,0,5,100,100,0,0,0,0,0,100,100,0.0236862520,35.6211563522,20.0000000000,15.6033756186,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
18,100,0,5,100,100,0,0,0,0,0,100,100,0.0236862520,35.5974701002,20.0000000000,15.6033756186,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
19,100,0,5,100,100,0,0,0,0,0,100,100,0.0236862520,35.5737838482,20.0000000000,15.6033756186,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
20,100,0,5,100,100,0,0,0,0,0,100,100,0.0236862520,35.5500975962,20.0000000000,15.6033756186,1.0000000000,0.8480000000,250.0000000000,0,0,0,11,0
