Node,Death_Round
0,2156
1,2166
2,2221
3,2201
4,2166
5,2221
6,2161
7,2181
8,2206
9,2206
10,2171
11,2131
12,2201
13,2161
14,2131
15,2221
16,2191
17,2176
18,2216
19,2221
20,2131
21,2171
22,2166
23,2146
24,2131
25,2161
26,2131
27,2221
28,2106
29,2204
30,2206
31,2171
32,2151
33,2151
34,2166
35,2166
36,2221
37,2161
38,2106
39,2186
40,2191
41,2200
42,2206
43,2196
44,2188
45,2176
46,2221
47,2206
48,2221
49,2206
50,2183
51,2171
52,2146
53,2193
54,2191
55,2176
56,2131
57,2216
58,2136
59,2161
60,2146
61,2206
62,2181
63,2166
64,2156
65,2161
66,2121
67,2181
68,2201
69,2206
70,2161
71,2176
72,2161
73,2161
74,2131
75,2166
76,2156
77,2166
78,2131
79,2171
80,2191
81,2126
82,2146
83,2166
84,2211
85,2096
86,2196
87,2201
88,2151
89,2191
90,2203
91,2166
92,2206
93,2186
94,2197
95,2201
96,2156
97,2211
98,2176
99,2176
