Node,Death_Round
0,1396
1,1446
2,1476
3,1391
4,1476
5,1476
6,1431
7,1436
8,1381
9,1486
10,1456
11,1396
12,1401
13,1471
14,1386
15,1471
16,1411
17,1466
18,1391
19,1521
20,1416
21,1526
22,1516
23,1506
24,1476
25,1531
26,1391
27,1486
28,1546
29,1461
30,1481
31,1531
32,1546
33,1546
34,1391
35,1436
36,1556
37,1491
38,1496
39,1501
40,1556
41,1561
42,1456
43,1526
44,1421
45,1341
46,1546
47,1491
48,1556
49,1411
50,1481
51,1551
52,1396
53,1501
54,1496
55,1521
56,1541
57,1361
58,1541
59,1396
60,1561
61,1531
62,1446
63,1386
64,1441
65,1391
66,1401
67,1416
68,1361
69,1551
70,1506
71,1466
72,1426
73,1406
74,1526
75,1451
76,1431
77,1421
78,1486
79,1386
80,1561
81,1511
82,1441
83,1511
84,1446
85,1461
86,1516
87,1536
88,1451
89,1561
90,1386
91,1426
92,1556
93,1536
94,1521
95,1391
96,1406
97,1336
98,1386
99,1386
