Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0785609318,49.8963362682,33.3333333333,12.1265696152,1.0000000000,0.9732480000,217.8273163675,0,0,0,54,0
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,49.8768305830,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,49.8573248977,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,49.8378192125,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0195056852,49.8183135273,33.3333333333,12.1265696152,1.0000000000,0.8480000000,250.0000000000,0,0,0,54,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.2194218503,49.5988916770,9.0909090909,15.6881624856,1.0000000000,0.9829760000,215.6715932027,0,0,0,4,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,49.5754014713,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,49.5519112657,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,49.5284210600,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0234902057,49.5049308543,9.0909090909,15.6881624856,1.0000000000,0.8480000000,250.0000000000,0,0,0,4,0
11,100,0,7,100,100,0,0,1,107,879,100,100,0.1498900534,49.3550408010,14.2857142857,14.7553671503,1.0000000000,0.9781120000,216.7440947458,0,0,0,19,0
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,49.3324612266,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,49.3098816523,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,49.2873020780,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0225795743,49.2647225037,14.2857142857,14.7553671503,1.0000000000,0.8480000000,250.0000000000,0,0,0,19,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.1496899970,49.1150325067,14.2857142857,14.6705627570,1.0000000000,0.9781120000,216.7440947458,0,0,0,20,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,49.0926078640,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,49.0701832213,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,49.0477585786,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0224246427,49.0253339359,14.2857142857,14.6705627570,1.0000000000,0.8480000000,250.0000000000,0,0,0,20,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.1312113555,48.8941225804,16.6666666667,13.7377682335,1.0000000000,0.9768960000,217.0138888889,0,0,0,32,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0210936960,48.8730288844,16.6666666667,13.7377682335,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0210936960,48.8519351884,16.6666666667,13.7377682335,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0210936960,48.8308414924,16.6666666667,13.7377682335,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0210936960,48.8097477963,16.6666666667,13.7377682335,1.0000000000,0.8480000000,250.0000000000,0,0,0,32,0
26,100,0,7,100,100,0,0,1,107,879,100,100,0.1504019188,48.6593458775,14.2857142857,15.1793658398,1.0000000000,0.9781120000,216.7440947458,0,0,0,14,0
27,100,0,7,100,100,0,0,0,0,0,100,100,0.0231301912,48.6362156863,14.2857142857,15.1793658398,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
28,100,0,7,100,100,0,0,0,0,0,100,100,0.0231301912,48.6130854951,14.2857142857,15.1793658398,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
29,100,0,7,100,100,0,0,0,0,0,100,100,0.0231301912,48.5899553039,14.2857142857,15.1793658398,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
30,100,0,7,100,100,0,0,0,0,0,100,100,0.0231301912,48.5668251127,14.2857142857,15.1793658398,1.0000000000,0.8480000000,250.0000000000,0,0,0,14,0
31,100,0,8,100,100,0,0,1,108,976,100,100,0.1684034848,48.3984216279,12.5000000000,15.8577556529,1.0000000000,0.9793280000,216.4749705921,0,0,0,5,0
32,100,0,8,100,100,0,0,0,0,0,100,100,0.0239773237,48.3744443042,12.5000000000,15.8577556529,1.0000000000,0.8480000000,250.0000000000,0,0,0,5,0
33,100,0,8,100,100,0,0,0,0,0,100,100,0.0239773237,48.3504669805,12.5000000000,15.8577556529,1.0000000000,0.8480000000,250.0000000000,0,0,0,5,0
34,100,0,8,100,100,0,0,0,0,0,100,100,0.0239773237,48.3264896568,12.5000000000,15.8577556529,1.0000000000,0.8480000000,250.0000000000,0,0,0,5,0
35,100,0,8,100,100,0,0,0,0,0,100,100,0.0239773237,48.3025123331,12.5000000000,15.8577556529,1.0000000000,0.8480000000,250.0000000000,0,0,0,5,0
36,100,0,6,100,100,0,0,1,106,782,100,100,0.1324260757,48.1700862573,16.6666666667,14.9249752403,1.0000000000,0.9768960000,217.0138888889,0,0,0,18,0
37,100,0,6,100,100,0,0,0,0,0,100,100,0.0224042558,48.1476820015,16.6666666667,14.9249752403,1.0000000000,0.8480000000,250.0000000000,0,0,0,18,0
