Node,Death_Round
0,1201
1,1246
2,1186
3,1181
4,1251
5,1301
6,1291
7,1321
8,1221
9,1301
10,1336
11,1376
12,1286
13,1331
14,1183
15,1191
16,1381
17,1251
18,1241
19,1266
20,1306
21,1371
22,1196
23,1351
24,1201
25,1356
26,1216
27,1246
28,1166
29,1331
30,1296
31,1196
32,1311
33,1166
34,1286
35,1151
36,1271
37,1321
38,1186
39,1151
40,1326
41,1256
42,1371
43,1236
44,1281
45,1211
46,1346
47,1311
48,1381
49,1306
50,1251
51,1206
52,1276
53,1361
54,1191
55,1281
56,1381
57,1361
58,1341
59,1231
60,1261
61,1166
62,1226
63,1136
64,1376
65,1271
66,1231
67,1261
68,1181
69,1301
70,1346
71,1336
72,1296
73,1326
74,1121
75,1181
76,1186
77,1366
78,1291
79,1211
80,1336
81,1316
82,1206
83,1221
84,1341
85,1241
86,1246
87,1351
88,1216
89,1266
90,1381
91,1321
92,1356
93,1366
94,1141
95,1316
96,1236
97,1276
98,1226
99,1256
