Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.3171070314,49.6828929686,8.3333333333,15.0648077288,1.0000000000,0.9765760000,215.4466216659,0,0,0,9,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0228239690,49.6600689997,8.3333333333,15.0648077288,1.0000000000,0.8416000000,250.0000000000,0,0,0,9,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0228239690,49.6372450307,8.3333333333,15.0648077288,1.0000000000,0.8416000000,250.0000000000,0,0,0,9,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0228239690,49.6144210618,8.3333333333,15.0648077288,1.0000000000,0.8416000000,250.0000000000,0,0,0,9,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0228239690,49.5915970928,8.3333333333,15.0648077288,1.0000000000,0.8416000000,250.0000000000,0,0,0,9,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.2931980088,49.2983990840,9.0909090909,15.4014512334,1.0000000000,0.9765760000,215.4466216659,0,0,0,6,0
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0230224169,49.2753766671,9.0909090909,15.4014512334,1.0000000000,0.8416000000,250.0000000000,0,0,0,6,0
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0230224169,49.2523542502,9.0909090909,15.4014512334,1.0000000000,0.8416000000,250.0000000000,0,0,0,6,0
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0230224169,49.2293318333,9.0909090909,15.4014512334,1.0000000000,0.8416000000,250.0000000000,0,0,0,6,0
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0230224169,49.2063094164,9.0909090909,15.4014512334,1.0000000000,0.8416000000,250.0000000000,0,0,0,6,0
11,100,0,5,100,100,0,0,1,105,685,100,100,0.1484767425,49.0578326739,20.0000000000,14.8123285685,1.0000000000,0.9692800000,217.0683393859,0,0,0,19,0
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0227376422,49.0350950317,20.0000000000,14.8123285685,1.0000000000,0.8416000000,250.0000000000,0,0,0,19,0
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0227376422,49.0123573895,20.0000000000,14.8123285685,1.0000000000,0.8416000000,250.0000000000,0,0,0,19,0
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0227376422,48.9896197473,20.0000000000,14.8123285685,1.0000000000,0.8416000000,250.0000000000,0,0,0,19,0
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0227376422,48.9668821051,20.0000000000,14.8123285685,1.0000000000,0.8416000000,250.0000000000,0,0,0,19,0
16,100,0,6,100,100,0,0,1,106,782,100,100,0.1718336622,48.7950484428,16.6666666667,14.6440208421,1.0000000000,0.9704960000,216.7963597995,0,0,0,20,0
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0220756440,48.7729727988,16.6666666667,14.6440208421,1.0000000000,0.8416000000,250.0000000000,0,0,0,20,0
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0220756440,48.7508971548,16.6666666667,14.6440208421,1.0000000000,0.8416000000,250.0000000000,0,0,0,20,0
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0220756440,48.7288215108,16.6666666667,14.6440208421,1.0000000000,0.8416000000,250.0000000000,0,0,0,20,0
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0220756440,48.7067458668,16.6666666667,14.6440208421,1.0000000000,0.8416000000,250.0000000000,0,0,0,20,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.1715338844,48.5352119825,16.6666666667,14.1390353741,1.0000000000,0.9704960000,216.7963597995,0,0,0,26,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0216816754,48.5135303071,16.6666666667,14.1390353741,1.0000000000,0.8416000000,250.0000000000,0,0,0,26,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0216816754,48.4918486317,16.6666666667,14.1390353741,1.0000000000,0.8416000000,250.0000000000,0,0,0,26,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0216816754,48.4701669564,16.6666666667,14.1390353741,1.0000000000,0.8416000000,250.0000000000,0,0,0,26,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0216816754,48.4484852810,16.6666666667,14.1390353741,1.0000000000,0.8416000000,250.0000000000,0,0,0,26,0
26,100,0,5,100,100,0,0,1,105,685,100,100,0.1495169954,48.2989682856,20.0000000000,15.4856161367,1.0000000000,0.9692800000,217.0683393859,0,0,0,11,0
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0237849472,48.2751833384,20.0000000000,15.4856161367,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0237849472,48.2513983911,20.0000000000,15.4856161367,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0237849472,48.2276134439,20.0000000000,15.4856161367,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
