Node,Death_Round
0,166
1,186
2,121
3,116
4,131
5,146
6,106
7,111
8,146
9,161
10,191
11,81
12,171
13,96
14,71
15,76
16,186
17,201
18,196
19,176
20,101
21,36
22,31
23,116
24,141
25,171
26,66
27,186
28,71
29,3
30,91
31,10
32,121
33,196
34,151
35,41
36,46
37,4
38,86
39,101
40,91
41,66
42,18
43,196
44,191
45,106
46,181
47,176
48,81
49,196
50,176
51,56
52,61
53,161
54,156
55,166
56,41
57,4
58,12
59,2
60,17
61,31
62,96
63,126
64,51
65,7
66,46
67,7
68,61
69,19
70,171
71,181
72,176
73,131
74,27
75,21
76,111
77,16
78,22
79,76
80,136
81,11
82,166
83,36
84,51
85,201
86,176
87,191
88,126
89,26
90,2
91,56
92,86
93,191
94,9
95,9
96,191
97,161
98,8
99,6
