Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,3.2332060991,46.7225337009,33.3333333333,13.4536096152,1.0000000000,1.1616320000,202.4737610534,0,0,0,54,0
2,98,2,3,100,67,33,0,0,0,0,76,76,2.1415233712,44.5810103296,32.6666666667,13.3398619746,0.6700000000,0.7150080000,220.3947368421,2,0,0,54,0
3,97,3,3,98,75,23,0,0,1,9,94,94,3.1489706285,41.4320397011,17.0000000000,12.7950292705,0.7653061224,0.8864960000,198.9856694221,0,1,1,46,0
4,95,5,2,97,65,32,0,0,0,0,76,76,1.9652200431,39.4668196580,1.0000000000,9.4081152065,0.6701030928,0.7150080000,213.8157894737,0,2,0,65,0
5,95,5,0,95,94,1,0,0,0,0,94,94,2.1122048744,37.3546147836,0.0000000000,9.4081301787,0.9894736842,0.8843520000,250.0000000000,0,0,0,94,0
6,94,6,4,95,76,19,0,1,99,558,94,94,3.3279586519,34.0266561317,23.2500000000,18.1972776377,0.8000000000,1.0966080000,163.0044646765,1,0,0,37,0
7,92,8,4,94,70,24,0,0,1,11,82,82,2.6130589587,31.4135971730,23.0000000000,15.5905831947,0.7446808511,0.7736000000,212.8231644261,2,0,1,44,0
8,91,9,4,92,80,12,0,0,1,11,86,86,2.6993786731,28.7142185000,14.7500000000,12.7009462337,0.8695652174,0.8112320000,231.9435130764,0,1,1,49,0
9,89,11,3,91,56,35,0,0,1,11,72,72,2.2560662114,26.4581522886,5.0000000000,11.4241303717,0.6153846154,0.6795200000,193.8309394867,0,2,1,43,0
10,88,12,1,89,65,24,0,0,0,0,68,68,1.6000590076,24.8580932809,1.0000000000,9.4081184098,0.7303370787,0.6397440000,238.9705882353,0,1,0,65,0
11,87,13,1,88,60,28,0,1,89,261,75,75,2.0378636295,22.8202296514,86.0000000000,14.1121700456,0.6818181818,0.8964160000,157.4269089351,1,0,0,59,0
12,86,14,1,87,61,26,0,0,0,0,74,74,1.9591664979,20.8610631535,1.0000000000,9.4081150609,0.7011494253,0.6961920000,206.0810810811,0,1,0,61,0
13,86,14,0,86,85,1,0,0,0,0,85,85,1.9099059774,18.9511571761,0.0000000000,9.4081281656,0.9883720930,0.7996800000,250.0000000000,0,0,0,85,0
14,86,14,0,86,84,2,0,0,0,0,84,84,1.8873855610,17.0637716151,0.0000000000,9.4081272223,0.9767441860,0.7902720000,250.0000000000,0,0,0,84,0
15,86,14,0,86,84,2,0,0,0,0,84,84,1.8873855610,15.1763860542,0.0000000000,9.4081272223,0.9767441860,0.7902720000,250.0000000000,0,0,0,84,0
16,85,15,2,86,70,16,0,1,88,338,80,80,2.0862162197,13.0901698344,40.5000000000,12.3649630102,0.8139534884,0.9413120000,174.9048137068,1,0,0,66,0
17,84,16,2,85,63,22,0,0,0,0,73,73,1.9134975569,11.1766722775,2.5000000000,9.7067852807,0.7411764706,0.6867840000,215.7534246575,0,1,0,60,0
18,83,17,1,84,71,13,0,0,0,0,73,73,1.6890549057,9.4876173718,79.0000000000,9.9381580570,0.8452380952,0.6867840000,243.1506849315,1,0,0,70,0
19,82,18,1,83,68,15,0,0,0,0,75,75,1.8466598723,7.6409574995,1.0000000000,9.4081213232,0.8192771084,0.7056000000,226.6666666667,0,1,0,68,0
20,82,18,0,82,78,4,0,0,0,0,78,78,1.7523948267,5.8885626729,0.0000000000,9.4081231864,0.9512195122,0.7338240000,250.0000000000,0,0,0,78,0
21,81,19,1,82,62,20,0,1,83,243,70,70,1.7678264555,4.1207362174,81.0000000000,11.8360202920,0.7560975610,0.8365120000,174.3238590720,1,0,0,61,0
22,80,20,1,81,61,20,0,0,0,0,68,68,1.6887907403,2.4319454771,1.0000000000,9.4081151523,0.7530864198,0.6397440000,224.2647058824,0,1,0,61,0
23,80,20,0,80,34,46,0,0,0,0,34,34,0.7641592621,1.6677862150,0.0000000000,9.4081434283,0.4250000000,0.3198720000,250.0000000000,0,0,0,34,0
24,80,20,0,80,23,57,0,0,0,0,23,23,0.5170061805,1.1507800345,0.0000000000,9.4081487312,0.2875000000,0.2163840000,250.0000000000,0,0,0,23,0
25,80,20,0,80,18,62,0,0,0,0,18,18,0.4046770321,0.7461030024,0.0000000000,9.4081546445,0.2250000000,0.1693440000,250.0000000000,0,0,0,18,0
