Node,Death_Round
0,196
1,196
2,276
3,291
4,241
5,316
6,271
7,181
8,191
9,296
10,331
11,156
12,211
13,251
14,191
15,91
16,281
17,281
18,206
19,261
20,151
21,191
22,141
23,196
24,181
25,261
26,171
27,256
28,201
29,266
30,306
31,139
32,201
33,226
34,135
35,166
36,86
37,311
38,326
39,301
40,191
41,166
42,326
43,226
44,281
45,156
46,301
47,236
48,186
49,246
50,231
51,211
52,161
53,321
54,206
55,286
56,151
57,331
58,196
59,316
60,104
61,81
62,196
63,176
64,161
65,286
66,146
67,306
68,171
69,291
70,246
71,286
72,281
73,236
74,44
75,271
76,196
77,296
78,251
79,186
80,241
81,74
82,266
83,146
84,96
85,231
86,276
87,191
88,141
89,79
90,321
91,176
92,191
93,271
94,216
95,256
96,216
97,221
98,311
99,221
