Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,57,43,0,1,103,491,57,57,2.0954738210,47.8089671790,33.3333333333,12.3521117698,0.5700000000,1.2281280000,143.3205659345,0,0,0,54,0
2,100,0,3,100,57,43,0,0,0,0,57,57,2.0460986029,45.7628685761,33.3333333333,12.3521117698,0.5700000000,0.7040640000,250.0000000000,0,0,0,54,0
3,100,0,3,100,57,43,0,0,0,0,57,57,2.0460986029,43.7167699732,33.3333333333,12.3521117698,0.5700000000,0.7040640000,250.0000000000,0,0,0,54,0
4,100,0,3,100,57,43,0,0,0,0,57,57,2.0460986029,41.6706713703,33.3333333333,12.3521117698,0.5700000000,0.7040640000,250.0000000000,0,0,0,54,0
5,100,0,3,100,57,43,0,0,0,0,57,57,2.0460986029,39.6245727674,33.3333333333,12.3521117698,0.5700000000,0.7040640000,250.0000000000,0,0,0,54,0
6,100,0,5,100,36,64,0,1,105,685,36,36,1.3537570949,38.2708156724,20.0000000000,12.3521113794,0.3600000000,0.9789120000,113.5628125919,0,0,0,31,0
7,100,0,5,100,36,64,0,0,0,0,36,36,1.2923707406,36.9784449318,20.0000000000,12.3521113794,0.3600000000,0.4446720000,250.0000000000,0,0,0,31,0
8,100,0,5,100,36,64,0,0,0,0,36,36,1.2923707406,35.6860741912,20.0000000000,12.3521113794,0.3600000000,0.4446720000,250.0000000000,0,0,0,31,0
9,100,0,5,100,36,64,0,0,0,0,36,36,1.2923707406,34.3937034506,20.0000000000,12.3521113794,0.3600000000,0.4446720000,250.0000000000,0,0,0,31,0
10,100,0,5,100,36,64,0,0,0,0,36,36,1.2923707406,33.1013327100,20.0000000000,12.3521113794,0.3600000000,0.4446720000,250.0000000000,0,0,0,31,0
11,100,0,3,100,41,59,0,1,103,491,41,41,1.5198430881,31.5814896219,33.3333333333,12.3521124627,0.4100000000,1.0304960000,122.8612241096,0,0,0,38,0
12,100,0,3,100,41,59,0,0,0,0,41,41,1.4718336508,30.1096559712,33.3333333333,12.3521124627,0.4100000000,0.5064320000,250.0000000000,0,0,0,38,0
13,100,0,3,100,41,59,0,0,0,0,41,41,1.4718336508,28.6378223204,33.3333333333,12.3521124627,0.4100000000,0.5064320000,250.0000000000,0,0,0,38,0
14,100,0,3,100,13,87,0,0,0,0,13,13,0.4667085295,28.1711137909,33.3333333333,12.3521156759,0.1300000000,0.1605760000,250.0000000000,0,0,0,10,0
15,100,0,3,100,13,87,0,0,0,0,13,13,0.4667085295,27.7044052614,33.3333333333,12.3521156759,0.1300000000,0.1605760000,250.0000000000,0,0,0,10,0
