Node,Death_Round
0,2101
1,2051
2,2108
3,2076
4,2106
5,2076
6,2046
7,2041
8,2106
9,2116
10,2081
11,2116
12,2066
13,2066
14,2061
15,2061
16,2071
17,2111
18,2111
19,2106
20,2086
21,2061
22,2101
23,2056
24,2101
25,2106
26,2071
27,2061
28,2071
29,2111
30,2086
31,2116
32,2093
33,2046
34,2056
35,2095
36,2091
37,2031
38,2101
39,2081
40,2116
41,2076
42,2116
43,2098
44,2091
45,2096
46,2078
47,2074
48,2089
49,2103
50,2106
51,2082
52,2086
53,2101
54,2107
55,2071
56,2021
57,2116
58,2056
59,2106
60,2031
61,2096
62,2066
63,2066
64,2066
65,2016
66,2016
67,2106
68,2096
69,2106
70,2061
71,2101
72,2091
73,2071
74,2091
75,2071
76,2041
77,2096
78,2106
79,2031
80,2036
81,2021
82,2026
83,2091
84,2071
85,2036
86,2096
87,2106
88,2086
89,2026
90,2116
91,2111
92,2056
93,2101
94,2066
95,2061
96,2036
97,2076
98,2101
99,2087
