Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,1,100,100,0,0,1,101,297,100,100,0.0261154823,48.4338845177,100.0000000000,11.1092668015,1.0000000000,0.9644160000,218.1631163315,0,0,0,67,0
2,100,0,1,100,100,0,0,0,0,0,100,100,0.0183939113,48.4154906064,100.0000000000,11.1092668015,1.0000000000,0.8416000000,250.0000000000,0,0,0,67,0
3,100,0,1,100,100,0,0,0,0,0,100,100,0.0183939113,48.3970966950,100.0000000000,11.1092668015,1.0000000000,0.8416000000,250.0000000000,0,0,0,67,0
4,100,0,1,100,100,0,0,0,0,0,100,100,0.0183939113,48.3787027837,100.0000000000,11.1092668015,1.0000000000,0.8416000000,250.0000000000,0,0,0,67,0
5,100,0,1,100,100,0,0,0,0,0,100,100,0.0183939113,48.3603088723,100.0000000000,11.1092668015,1.0000000000,0.8416000000,250.0000000000,0,0,0,67,0
6,100,0,12,100,100,0,0,1,112,1364,100,100,0.0501608855,48.3101479869,8.3333333333,15.5697557617,1.0000000000,0.9777920000,215.1786883100,0,0,0,3,0
7,100,0,12,100,100,0,0,0,0,0,100,100,0.0234698962,48.2866780907,8.3333333333,15.5697557617,1.0000000000,0.8416000000,250.0000000000,0,0,0,3,0
8,100,0,12,100,100,0,0,0,0,0,100,100,0.0234698962,48.2632081945,8.3333333333,15.5697557617,1.0000000000,0.8416000000,250.0000000000,0,0,0,3,0
9,100,0,12,100,100,0,0,0,0,0,100,100,0.0234698962,48.2397382983,8.3333333333,15.5697557617,1.0000000000,0.8416000000,250.0000000000,0,0,0,3,0
10,100,0,12,100,100,0,0,0,0,0,100,100,0.0234698962,48.2162684021,8.3333333333,15.5697557617,1.0000000000,0.8416000000,250.0000000000,0,0,0,3,0
11,100,0,10,100,100,0,0,1,110,1170,100,100,0.0453556985,48.1709127036,10.0000000000,14.8123388843,1.0000000000,0.9753600000,215.7152230971,0,0,0,14,0
12,100,0,10,100,100,0,0,0,0,0,100,100,0.0222544208,48.1486582828,10.0000000000,14.8123388843,1.0000000000,0.8416000000,250.0000000000,0,0,0,14,0
