Node,Death_Round
0,2061
1,2031
2,1986
3,2066
4,2060
5,2041
6,2022
7,2046
8,2051
9,2021
10,2056
11,2061
12,2041
13,2076
14,2076
15,2036
16,2006
17,2026
18,2016
19,2051
20,2056
21,2046
22,2061
23,2016
24,2076
25,2066
26,2021
27,2046
28,2041
29,2071
30,1971
31,2016
32,2051
33,2061
34,2041
35,2037
36,2031
37,2051
38,2046
39,2066
40,2065
41,2001
42,2076
43,2026
44,2029
45,2031
46,2042
47,2050
48,2026
49,2051
50,2066
51,2061
52,2056
53,2026
54,2066
55,2068
56,2051
57,2066
58,2066
59,2047
60,2001
61,2036
62,2006
63,2046
64,2051
65,2051
66,1981
67,2053
68,2066
69,2066
70,2016
71,2021
72,2066
73,2061
74,2033
75,2036
76,2051
77,2076
78,1966
79,2006
80,2061
81,2066
82,1996
83,2041
84,2051
85,2071
86,2056
87,2066
88,1991
89,1996
90,2046
91,2026
92,1996
93,2056
94,2057
95,2076
96,1996
97,2066
98,2076
99,2076
