Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,10,100,100,0,0,1,109,1170,100,100,0.0462719955,47.7237280045,10.0000000000,15.1489738668,1.0000000000,0.9741440000,215.9844951054,0,0,0,10,0
2,100,0,10,100,100,0,0,0,0,0,100,100,0.0231418439,47.7005861606,10.0000000000,15.1489738668,1.0000000000,0.8416000000,250.0000000000,0,0,0,10,0
3,100,0,10,100,100,0,0,0,0,0,100,100,0.0231418439,47.6774443167,10.0000000000,15.1489738668,1.0000000000,0.8416000000,250.0000000000,0,0,0,10,0
4,100,0,10,100,100,0,0,0,0,0,100,100,0.0231418439,47.6543024728,10.0000000000,15.1489738668,1.0000000000,0.8416000000,250.0000000000,0,0,0,10,0
5,100,0,10,100,100,0,0,0,0,0,100,100,0.0231418439,47.6311606290,10.0000000000,15.1489738668,1.0000000000,0.8416000000,250.0000000000,0,0,0,10,0
6,100,0,10,100,100,0,0,1,110,1170,100,100,0.0462028659,47.5849577631,10.0000000000,15.0647979468,1.0000000000,0.9753600000,215.7152230971,0,0,0,11,0
7,100,0,10,100,100,0,0,0,0,0,100,100,0.0230160803,47.5619416827,10.0000000000,15.0647979468,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
8,100,0,10,100,100,0,0,0,0,0,100,100,0.0230160803,47.5389256024,10.0000000000,15.0647979468,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
9,100,0,10,100,100,0,0,0,0,0,100,100,0.0230160803,47.5159095221,10.0000000000,15.0647979468,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
10,100,0,10,100,100,0,0,0,0,0,100,100,0.0230160803,47.4928934417,10.0000000000,15.0647979468,1.0000000000,0.8416000000,250.0000000000,0,0,0,11,0
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0366587799,47.4562346618,20.0000000000,14.5598572130,1.0000000000,0.9692800000,217.0683393859,0,0,0,22,0
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0224185378,47.4338161240,20.0000000000,14.5598572130,1.0000000000,0.8416000000,250.0000000000,0,0,0,22,0
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0224185378,47.4113975862,20.0000000000,14.5598572130,1.0000000000,0.8416000000,250.0000000000,0,0,0,22,0
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0224185378,47.3889790484,20.0000000000,14.5598572130,1.0000000000,0.8416000000,250.0000000000,0,0,0,22,0
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0224185378,47.3665605106,20.0000000000,14.5598572130,1.0000000000,0.8416000000,250.0000000000,0,0,0,22,0
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0395680988,47.3269924118,14.2857142857,13.4657545360,1.0000000000,0.9717120000,216.5250609234,0,0,0,33,0
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0215652154,47.3054271965,14.2857142857,13.4657545360,1.0000000000,0.8416000000,250.0000000000,0,0,0,33,0
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0215652154,47.2838619811,14.2857142857,13.4657545360,1.0000000000,0.8416000000,250.0000000000,0,0,0,33,0
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0215652154,47.2622967657,14.2857142857,13.4657545360,1.0000000000,0.8416000000,250.0000000000,0,0,0,33,0
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0215652154,47.2407315503,14.2857142857,13.4657545360,1.0000000000,0.8416000000,250.0000000000,0,0,0,33,0
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0379922826,47.2027392678,16.6666666667,14.0548940965,1.0000000000,0.9704960000,216.7963597995,0,0,0,27,0
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0218491526,47.1808901152,16.6666666667,14.0548940965,1.0000000000,0.8416000000,250.0000000000,0,0,0,27,0
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0218491526,47.1590409626,16.6666666667,14.0548940965,1.0000000000,0.8416000000,250.0000000000,0,0,0,27,0
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0218491526,47.1371918100,16.6666666667,14.0548940965,1.0000000000,0.8416000000,250.0000000000,0,0,0,27,0
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0218491526,47.1153426573,16.6666666667,14.0548940965,1.0000000000,0.8416000000,250.0000000000,0,0,0,27,0
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0368521976,47.0784904597,16.6666666667,13.5499252403,1.0000000000,0.9704960000,216.7963597995,0,0,0,33,0
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0207532463,47.0577372134,16.6666666667,13.5499252403,1.0000000000,0.8416000000,250.0000000000,0,0,0,33,0
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0207532463,47.0369839671,16.6666666667,13.5499252403,1.0000000000,0.8416000000,250.0000000000,0,0,0,33,0
