Node,Death_Round
0,986
1,911
2,941
3,1011
4,951
5,996
6,1001
7,936
8,986
9,921
10,1006
11,901
12,971
13,936
14,861
15,946
16,991
17,896
18,896
19,901
20,981
21,941
22,961
23,926
24,941
25,1016
26,951
27,876
28,931
29,836
30,901
31,836
32,996
33,836
34,926
35,966
36,1001
37,971
38,981
39,956
40,811
41,946
42,1026
43,891
44,971
45,956
46,816
47,891
48,1006
49,1011
50,991
51,846
52,966
53,986
54,831
55,1001
56,976
57,956
58,976
59,831
60,821
61,926
62,806
63,941
64,976
65,1026
66,801
67,786
68,996
69,931
70,1001
71,736
72,961
73,951
74,886
75,896
76,936
77,821
78,961
79,1021
80,896
81,901
82,1016
83,736
84,906
85,716
86,941
87,851
88,816
89,951
90,896
91,706
92,923
93,1016
94,736
95,816
96,816
97,901
98,926
99,786
