Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0740445758,49.9259554242,8.3333333333,35.5999218931,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,11
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0473615134,49.8785939107,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0473615134,49.8312323973,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0473615134,49.7838708838,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0473615134,49.7365093704,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0720528140,49.6644565563,9.0909090909,32.9068027892,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0471772221,49.6172793342,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0471772221,49.5701021121,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0471772221,49.5229248900,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0471772221,49.4757476679,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0623079067,49.4134397613,20.0000000000,22.3026518585,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0480688064,49.3653709548,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0480688064,49.3173021484,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0480688064,49.2692333420,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0480688064,49.2211645356,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0636523137,49.1575122219,16.6666666667,24.5750848447,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0476942955,49.1098179264,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0476942955,49.0621236309,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0476942955,49.0144293354,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0476942955,48.9667350398,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0641549146,48.9025801253,16.6666666667,25.4166091673,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0481027055,48.8544774198,16.6666666667,25.4166091673,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0481027055,48.8063747142,16.6666666667,25.4166091673,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0481027055,48.7582720087,16.6666666667,25.4166091673,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
