Node,Death_Round
0,751
1,776
2,801
3,726
4,821
5,746
6,711
7,576
8,596
9,761
10,756
11,636
12,816
13,766
14,586
15,806
16,766
17,741
18,621
19,676
20,531
21,661
22,671
23,611
24,826
25,776
26,531
27,680
28,411
29,736
30,591
31,746
32,801
33,836
34,836
35,631
36,781
37,791
38,656
39,826
40,686
41,711
42,846
43,851
44,786
45,706
46,731
47,766
48,646
49,781
50,791
51,556
52,726
53,656
54,671
55,786
56,771
57,806
58,811
59,696
60,781
61,626
62,801
63,736
64,591
65,751
66,731
67,821
68,661
69,841
70,811
71,831
72,771
73,721
74,756
75,806
76,641
77,821
78,776
79,736
80,761
81,706
82,736
83,621
84,746
85,831
86,741
87,836
88,761
89,736
90,746
91,561
92,636
93,841
94,796
95,771
96,766
97,796
98,816
99,737
