Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0874445758,49.9125554242,8.3333333333,35.5999218931,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,11
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0607615134,49.8517939107,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0607615134,49.7910323973,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0607615134,49.7302708838,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0607615134,49.6695093704,8.3333333333,35.5999218931,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0854528140,49.5840565563,9.0909090909,32.9068027892,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0605772221,49.5234793342,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0605772221,49.4629021121,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0605772221,49.4023248900,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0605772221,49.3417476679,9.0909090909,32.9068027892,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0757079067,49.2660397613,20.0000000000,22.3026518585,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0614688064,49.2045709548,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0614688064,49.1431021484,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0614688064,49.0816333420,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0614688064,49.0201645356,20.0000000000,22.3026518585,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0770523137,48.9431122219,16.6666666667,24.5750848447,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0610942955,48.8820179264,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0610942955,48.8209236309,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0610942955,48.7598293354,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0610942955,48.6987350398,16.6666666667,24.5750848447,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0775549146,48.6211801253,16.6666666667,25.4166091673,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0615027055,48.5596774198,16.6666666667,25.4166091673,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0615027055,48.4981747142,16.6666666667,25.4166091673,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0615027055,48.4366720087,16.6666666667,25.4166091673,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
