Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0381822235,49.9618177765,8.3333333333,39.7606829295,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,11
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0221025772,49.9397151993,8.3333333333,39.7606829295,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,11
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0221025772,49.9176126221,8.3333333333,39.7606829295,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,11
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0221025772,49.8955100449,8.3333333333,39.7606829295,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,11
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0221025772,49.8734074677,8.3333333333,39.7606829295,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,11
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0370349832,49.8363724845,9.0909090909,41.2007426590,1.0000000000,0.8888000000,225.0225022502,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0220474622,49.8143250223,9.0909090909,41.2007426590,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0220474622,49.7922775600,9.0909090909,41.2007426590,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0220474622,49.7702300978,9.0909090909,41.2007426590,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0220474622,49.7481826356,9.0909090909,41.2007426590,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,10
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0315320706,49.7166505650,20.0000000000,28.8006622686,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0229542415,49.6936963235,20.0000000000,28.8006622686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0229542415,49.6707420820,20.0000000000,28.8006622686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,4
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0229542415,49.6477878405,20.0000000000,28.8006622686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,4
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0229542415,49.6248335990,20.0000000000,28.8006622686,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,4
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0321261080,49.5927074911,16.6666666667,37.9206925992,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0225154118,49.5701920793,16.6666666667,37.9206925992,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0225154118,49.5476766675,16.6666666667,37.9206925992,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0225154118,49.5251612558,16.6666666667,37.9206925992,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0225154118,49.5026458440,16.6666666667,37.9206925992,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0326136251,49.4700322189,16.6666666667,35.2006976373,1.0000000000,0.8848000000,226.0397830018,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0229409613,49.4470912576,16.6666666667,35.2006976373,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0229409613,49.4241502963,16.6666666667,35.2006976373,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0229409613,49.4012093351,16.6666666667,35.2006976373,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0229409613,49.3782683738,16.6666666667,35.2006976373,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,5
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0322071334,49.3460612404,20.0000000000,22.4006777939,1.0000000000,0.8840000000,226.2443438914,0,0,0,0,4
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0236339438,49.3224272966,20.0000000000,22.4006777939,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,4
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0236339438,49.2987933528,20.0000000000,22.4006777939,1.0000000000,0.8000000000,250.0000000000,0,0,0,0,4
