Node,Death_Round
0,1491
1,1541
2,1461
3,1541
4,1426
5,1476
6,1561
7,1446
8,1496
9,1551
10,1501
11,1436
12,1541
13,1481
14,1536
15,1336
16,1541
17,1556
18,1536
19,1481
20,1541
21,1516
22,1533
23,1426
24,1411
25,1541
26,1351
27,1551
28,1391
29,1556
30,1466
31,1391
32,1421
33,1441
34,1546
35,1436
36,1511
37,1436
38,1541
39,1546
40,1476
41,1521
42,1536
43,1546
44,1551
45,1436
46,1431
47,1556
48,1526
49,1536
50,1426
51,1496
52,1501
53,1546
54,1481
55,1537
56,1516
57,1536
58,1506
59,1501
60,1551
61,1556
62,1396
63,1446
64,1496
65,1426
66,1461
67,1531
68,1431
69,1521
70,1541
71,1546
72,1531
73,1541
74,1546
75,1441
76,1546
77,1491
78,1346
79,1431
80,1351
81,1516
82,1501
83,1486
84,1556
85,1441
86,1491
87,1541
88,1491
89,1411
90,1436
91,1461
92,1516
93,1556
94,1451
95,1511
96,1551
97,1538
98,1471
99,1556
