Node,Death_Round
0,1276
1,1316
2,1291
3,1301
4,1281
5,1296
6,1266
7,1166
8,1286
9,1186
10,1241
11,1246
12,1316
13,1181
14,1151
15,1281
16,1291
17,1066
18,1296
19,1291
20,1286
21,1306
22,1316
23,1316
24,1236
25,1206
26,1306
27,1291
28,1291
29,1241
30,1286
31,1256
32,1111
33,1291
34,1271
35,1256
36,1186
37,1241
38,1251
39,1251
40,1287
41,1296
42,1271
43,1291
44,1281
45,1261
46,1251
47,1291
48,1196
49,1291
50,1266
51,1316
52,1286
53,1216
54,1151
55,1291
56,1281
57,1151
58,1226
59,1181
60,1296
61,1141
62,1301
63,1291
64,1301
65,1301
66,1256
67,1286
68,1186
69,1316
70,1281
71,1296
72,1236
73,1206
74,1146
75,1151
76,1246
77,1289
78,1266
79,1276
80,1286
81,1136
82,1256
83,1271
84,1266
85,1051
86,1211
87,1291
88,1311
89,1241
90,1261
91,1261
92,1186
93,1286
94,1284
95,1296
96,1281
97,1281
98,1286
99,1161
