Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0455996237,40.9292975763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,40.8982251991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,40.8671528219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,40.8360804447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,40.8050080676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,10,100,100,0,0,1,110,1170,100,100,0.0524969630,40.7525111045,10.0000000000,35.0230471565,1.0000000000,0.9817600000,215.9387222947,0,0,0,0,9
7,100,0,10,100,100,0,0,0,0,0,100,100,0.0260371289,40.7264739757,10.0000000000,35.0230471565,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
8,100,0,10,100,100,0,0,0,0,0,100,100,0.0260371289,40.7004368468,10.0000000000,35.0230471565,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
9,100,0,10,100,100,0,0,0,0,0,100,100,0.0260371289,40.6743997179,10.0000000000,35.0230471565,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
10,100,0,10,100,100,0,0,0,0,0,100,100,0.0260371289,40.6483625890,10.0000000000,35.0230471565,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
11,100,0,6,100,100,0,0,1,106,782,100,100,0.0460489721,40.6023136169,16.6666666667,35.9558417253,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
12,100,0,6,100,100,0,0,0,0,0,100,100,0.0266401669,40.5756734500,16.6666666667,35.9558417253,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
13,100,0,6,100,100,0,0,0,0,0,100,100,0.0266401669,40.5490332832,16.6666666667,35.9558417253,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
14,100,0,6,100,100,0,0,0,0,0,100,100,0.0266401669,40.5223931163,16.6666666667,35.9558417253,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
15,100,0,6,100,100,0,0,0,0,0,100,100,0.0266401669,40.4957529494,16.6666666667,35.9558417253,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0464508819,40.4493020675,16.6666666667,36.5494723861,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0269699555,40.4223321120,16.6666666667,36.5494723861,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0269699555,40.3953621565,16.6666666667,36.5494723861,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0269699555,40.3683922009,16.6666666667,36.5494723861,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0269699555,40.3414222454,16.6666666667,36.5494723861,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0456747726,40.2957474728,16.6666666667,30.6982752688,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0263110002,40.2694364726,16.6666666667,30.6982752688,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0263110002,40.2431254723,16.6666666667,30.6982752688,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0263110002,40.2168144721,16.6666666667,30.6982752688,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0263110002,40.1905034719,16.6666666667,30.6982752688,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
26,100,0,4,100,100,0,0,1,104,588,100,100,0.0432171991,40.1472862728,25.0000000000,25.6103498102,1.0000000000,0.9744640000,217.5554971759,0,0,0,0,3
27,100,0,4,100,100,0,0,0,0,0,100,100,0.0273721084,40.1199141644,25.0000000000,25.6103498102,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
28,100,0,4,100,100,0,0,0,0,0,100,100,0.0273721084,40.0925420560,25.0000000000,25.6103498102,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
29,100,0,4,100,100,0,0,0,0,0,100,100,0.0273721084,40.0651699476,25.0000000000,25.6103498102,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
30,100,0,4,100,100,0,0,0,0,0,100,100,0.0273721084,40.0377978392,25.0000000000,25.6103498102,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,3
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0521342164,39.9856636229,10.0000000000,40.5352513488,1.0000000000,0.9817600000,215.9387222947,0,0,0,0,9
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0256924080,39.9599712149,10.0000000000,40.5352513488,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0256924080,39.9342788069,10.0000000000,40.5352513488,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0256924080,39.9085863990,10.0000000000,40.5352513488,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,9
