Node,Death_Round
0,966
1,821
2,786
3,966
4,981
5,916
6,826
7,876
8,899
9,936
10,946
11,966
12,941
13,826
14,971
15,961
16,856
17,936
18,976
19,931
20,871
21,896
22,996
23,871
24,946
25,941
26,1001
27,996
28,976
29,926
30,851
31,911
32,956
33,916
34,906
35,936
36,981
37,936
38,821
39,951
40,921
41,896
42,931
43,911
44,1001
45,846
46,986
47,926
48,991
49,936
50,921
51,906
52,851
53,926
54,971
55,851
56,966
57,956
58,871
59,976
60,910
61,881
62,891
63,881
64,956
65,951
66,986
67,956
68,876
69,901
70,996
71,886
72,881
73,951
74,781
75,831
76,971
77,986
78,811
79,1001
80,836
81,906
82,911
83,961
84,981
85,901
86,991
87,881
88,1001
89,911
90,956
91,881
92,921
93,921
94,961
95,926
96,981
97,881
98,886
99,841
