Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,10,100,100,0,0,1,109,1170,100,100,0.2786090451,47.4913909549,10.0000000000,32.2338948543,1.0000000000,0.9741440000,215.9844951054,0,0,0,0,9
2,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.4657840615,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
3,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.4401771680,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
4,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.4145702746,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
5,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.3889633811,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
6,100,0,10,100,100,0,0,1,110,1170,100,100,0.2793303228,47.1096330583,10.0000000000,42.9223081033,1.0000000000,0.9753600000,215.7152230971,0,0,0,0,9
7,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.0833615210,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
8,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.0570899838,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
9,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.0308184465,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
10,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.0045469092,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
11,100,0,5,100,100,0,0,1,105,685,100,100,0.1562512766,46.8482956327,20.0000000000,32.4023894256,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,46.8220565983,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,46.7958175638,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,46.7695785294,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,46.7433394950,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
16,100,0,7,100,100,0,0,1,107,879,100,100,0.2070766938,46.5362628012,14.2857142857,34.1696071905,1.0000000000,0.9717120000,216.5250609234,0,0,0,0,6
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,46.5086009908,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,46.4809391804,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,46.4532773700,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,46.4256155596,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
21,100,0,6,100,100,0,0,1,106,782,100,100,0.1814809269,46.2441346326,16.6666666667,32.6547061553,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,46.2173888357,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,46.1906430387,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,46.1638972417,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,46.1371514447,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
26,100,0,6,100,100,0,0,1,106,782,100,100,0.1812779595,45.9558734852,16.6666666667,29.8774757959,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0265870082,45.9292864770,16.6666666667,29.8774757959,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0265870082,45.9026994687,16.6666666667,29.8774757959,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
29,100,0,6,100,100,0,0,0,0,0,100,100,0.0265870082,45.8761124605,16.6666666667,29.8774757959,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
30,100,0,6,100,100,0,0,0,0,0,100,100,0.0265870082,45.8495254523,16.6666666667,29.8774757959,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.2785004972,45.5710249551,10.0000000000,34.5904729179,1.0000000000,0.9753600000,215.7152230971,0,0,0,0,9
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0255403293,45.5454846258,10.0000000000,34.5904729179,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0255403293,45.5199442965,10.0000000000,34.5904729179,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0255403293,45.4944039671,10.0000000000,34.5904729179,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0255403293,45.4688636378,10.0000000000,34.5904729179,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
36,100,0,6,100,100,0,0,1,106,782,100,100,0.1814221702,45.2874414677,16.6666666667,24.3229188925,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
37,100,0,6,100,100,0,0,0,0,0,100,100,0.0268217890,45.2606196786,16.6666666667,24.3229188925,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
38,100,0,6,100,100,0,0,0,0,0,100,100,0.0268217890,45.2337978896,16.6666666667,24.3229188925,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
39,100,0,6,100,100,0,0,0,0,0,100,100,0.0268217890,45.2069761006,16.6666666667,24.3229188925,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
40,100,0,6,100,100,0,0,0,0,0,100,100,0.0268217890,45.1801543115,16.6666666667,24.3229188925,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
41,100,0,2,100,100,0,0,1,102,394,100,100,0.0839360462,45.0962182654,50.0000000000,22.8921809770,1.0000000000,0.9656320000,217.8883881230,0,0,0,0,1
42,100,0,2,100,100,0,0,0,0,0,100,100,0.0275710611,45.0686472043,50.0000000000,22.8921809770,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,1
43,100,0,2,100,100,0,0,0,0,0,100,100,0.0275710611,45.0410761432,50.0000000000,22.8921809770,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,1
44,100,0,2,100,100,0,0,0,0,0,100,100,0.0275710611,45.0135050821,50.0000000000,22.8921809770,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,1
45,100,0,2,100,100,0,0,0,0,0,100,100,0.0275710611,44.9859340210,50.0000000000,22.8921809770,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,1
46,100,0,7,100,100,0,0,1,107,879,100,100,0.2053497321,44.7805842889,14.2857142857,41.7440908238,1.0000000000,0.9717120000,216.5250609234,0,0,0,0,6
47,100,0,7,100,100,0,0,0,0,0,100,100,0.0261323464,44.7544519426,14.2857142857,41.7440908238,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
48,100,0,7,100,100,0,0,0,0,0,100,100,0.0261323464,44.7283195962,14.2857142857,41.7440908238,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
49,100,0,7,100,100,0,0,0,0,0,100,100,0.0261323464,44.7021872498,14.2857142857,41.7440908238,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
50,100,0,7,100,100,0,0,0,0,0,100,100,0.0261323464,44.6760549035,14.2857142857,41.7440908238,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
51,100,0,7,100,100,0,0,1,107,879,100,100,0.2048809041,44.4711739993,14.2857142857,37.9569727484,1.0000000000,0.9717120000,216.5250609234,0,0,0,0,6
52,100,0,7,100,100,0,0,0,0,0,100,100,0.0257320973,44.4454419020,14.2857142857,37.9569727484,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
53,100,0,7,100,100,0,0,0,0,0,100,100,0.0257320973,44.4197098048,14.2857142857,37.9569727484,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
54,100,0,7,100,100,0,0,0,0,0,100,100,0.0257320973,44.3939777075,14.2857142857,37.9569727484,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
55,100,0,7,100,100,0,0,0,0,0,100,100,0.0257320973,44.3682456102,14.2857142857,37.9569727484,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
56,100,0,4,100,100,0,0,1,104,588,100,100,0.1322277740,44.2360178362,25.0000000000,29.1200637045,1.0000000000,0.9680640000,217.3410022478,0,0,0,0,3
57,100,0,4,100,100,0,0,0,0,0,100,100,0.0267421193,44.2092757169,25.0000000000,29.1200637045,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
58,100,0,4,100,100,0,0,0,0,0,100,100,0.0267421193,44.1825335976,25.0000000000,29.1200637045,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
59,100,0,4,100,100,0,0,0,0,0,100,100,0.0267421193,44.1557914784,25.0000000000,29.1200637045,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
60,100,0,4,100,100,0,0,0,0,0,100,100,0.0267421193,44.1290493591,25.0000000000,29.1200637045,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
61,100,0,3,100,100,0,0,1,103,491,100,100,0.1079486129,44.0211007462,33.3333333333,27.3527840420,1.0000000000,0.9668480000,217.6143509631,0,0,0,0,2
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0270823451,43.9940184011,33.3333333333,27.3527840420,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0270823451,43.9669360559,33.3333333333,27.3527840420,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0270823451,43.9398537108,33.3333333333,27.3527840420,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0270823451,43.9127713657,33.3333333333,27.3527840420,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
66,100,0,3,100,100,0,0,1,103,491,100,100,0.1076533244,43.8051180413,33.3333333333,22.9763603468,1.0000000000,0.9668480000,217.6143509631,0,0,0,0,2
67,100,0,3,100,100,0,0,0,0,0,100,100,0.0268418941,43.7782761472,33.3333333333,22.9763603468,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
68,100,0,3,100,100,0,0,0,0,0,100,100,0.0268418941,43.7514342531,33.3333333333,22.9763603468,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
69,100,0,3,100,100,0,0,0,0,0,100,100,0.0268418941,43.7245923590,33.3333333333,22.9763603468,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
