Node,Death_Round
0,841
1,936
2,906
3,891
4,936
5,911
6,936
7,776
8,906
9,896
10,911
11,946
12,851
13,936
14,786
15,856
16,851
17,866
18,901
19,916
20,861
21,926
22,951
23,911
24,871
25,941
26,936
27,941
28,856
29,916
30,941
31,906
32,876
33,871
34,906
35,936
36,756
37,936
38,941
39,856
40,891
41,791
42,891
43,936
44,921
45,896
46,936
47,926
48,926
49,941
50,932
51,901
52,936
53,926
54,831
55,906
56,921
57,956
58,936
59,786
60,876
61,811
62,936
63,931
64,951
65,927
66,841
67,831
68,916
69,925
70,876
71,881
72,941
73,931
74,951
75,921
76,951
77,866
78,856
79,931
80,791
81,906
82,841
83,826
84,946
85,781
86,936
87,906
88,921
89,901
90,941
91,896
92,936
93,881
94,906
95,886
96,831
97,926
98,946
99,951
