Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,10,100,100,0,0,1,109,1170,100,100,0.0881150851,47.6818849149,10.0000000000,32.2338948543,1.0000000000,0.9741440000,215.9844951054,0,0,0,0,9
2,100,0,10,100,100,0,0,0,0,0,100,100,0.0444482135,47.6374367015,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
3,100,0,10,100,100,0,0,0,0,0,100,100,0.0444482135,47.5929884880,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
4,100,0,10,100,100,0,0,0,0,0,100,100,0.0444482135,47.5485402746,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
5,100,0,10,100,100,0,0,0,0,0,100,100,0.0444482135,47.5040920611,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
6,100,0,10,100,100,0,0,1,110,1170,100,100,0.0888500428,47.4152420183,10.0000000000,42.9223081033,1.0000000000,0.9753600000,215.7152230971,0,0,0,0,9
7,100,0,10,100,100,0,0,0,0,0,100,100,0.0451128573,47.3701291610,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
8,100,0,10,100,100,0,0,0,0,0,100,100,0.0451128573,47.3250163038,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
9,100,0,10,100,100,0,0,0,0,0,100,100,0.0451128573,47.2799034465,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
10,100,0,10,100,100,0,0,0,0,0,100,100,0.0451128573,47.2347905892,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0731677966,47.1616227927,20.0000000000,32.4023894256,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0450803544,47.1165424383,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0450803544,47.0714620838,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
