Node,Death_Round
0,1386
1,1401
2,1426
3,1306
4,1351
5,1411
6,1331
7,1421
8,1291
9,1401
10,1271
11,1396
12,1366
13,1426
14,1386
15,1351
16,1421
17,1271
18,1381
19,1356
20,1381
21,1391
22,1416
23,1341
24,1366
25,1391
26,1286
27,1386
28,1241
29,1361
30,1421
31,1281
32,1371
33,1376
34,1421
35,1346
36,1341
37,1406
38,1356
39,1361
40,1401
41,1256
42,1366
43,1346
44,1331
45,1386
46,1286
47,1406
48,1351
49,1415
50,1417
51,1426
52,1351
53,1421
54,1261
55,1426
56,1376
57,1431
58,1361
59,1366
60,1436
61,1376
62,1436
63,1291
64,1396
65,1261
66,1416
67,1386
68,1226
69,1401
70,1416
71,1351
72,1406
73,1386
74,1406
75,1391
76,1426
77,1281
78,1391
79,1391
80,1276
81,1411
82,1406
83,1416
84,1411
85,1426
86,1426
87,1426
88,1426
89,1271
90,1436
91,1396
92,1341
93,1426
94,1361
95,1391
96,1416
97,1436
98,1316
99,1431
