Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0455996237,36.0292975763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,35.9982251991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,35.9671528219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,35.9360804447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0310723772,35.9050080676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,8,100,100,0,0,1,108,976,100,100,0.0489232585,35.8560848090,12.5000000000,31.2070394681,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,7
7,100,0,8,100,100,0,0,0,0,0,100,100,0.0260547006,35.8300301084,12.5000000000,31.2070394681,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
8,100,0,8,100,100,0,0,0,0,0,100,100,0.0260547006,35.8039754078,12.5000000000,31.2070394681,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
9,100,0,8,100,100,0,0,0,0,0,100,100,0.0260547006,35.7779207071,12.5000000000,31.2070394681,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
10,100,0,8,100,100,0,0,0,0,0,100,100,0.0260547006,35.7518660065,12.5000000000,31.2070394681,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
11,100,0,6,100,100,0,0,1,106,782,100,100,0.0460690480,35.7057969585,16.6666666667,31.1222403044,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
12,100,0,6,100,100,0,0,0,0,0,100,100,0.0266598181,35.6791371404,16.6666666667,31.1222403044,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
13,100,0,6,100,100,0,0,0,0,0,100,100,0.0266598181,35.6524773223,16.6666666667,31.1222403044,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
14,100,0,6,100,100,0,0,0,0,0,100,100,0.0266598181,35.6258175042,16.6666666667,31.1222403044,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
15,100,0,6,100,100,0,0,0,0,0,100,100,0.0266598181,35.5991576861,16.6666666667,31.1222403044,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
16,100,0,5,100,100,0,0,1,105,685,100,100,0.0441103665,35.5550473195,20.0000000000,29.0022552341,1.0000000000,0.9756800000,217.2843555264,0,0,0,0,4
17,100,0,5,100,100,0,0,0,0,0,100,100,0.0265148344,35.5285324851,20.0000000000,29.0022552341,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,4
