Node,Death_Round
0,1521
1,1551
2,1551
3,1486
4,1586
5,1356
6,1551
7,1396
8,1581
9,1586
10,1501
11,1511
12,1526
13,1456
14,1566
15,1391
16,1441
17,1526
18,1396
19,1451
20,1551
21,1376
22,1581
23,1431
24,1426
25,1561
26,1556
27,1571
28,1546
29,1581
30,1441
31,1581
32,1401
33,1386
34,1441
35,1501
36,1506
37,1536
38,1541
39,1471
40,1546
41,1506
42,1567
43,1566
44,1561
45,1481
46,1456
47,1576
48,1564
49,1521
50,1501
51,1476
52,1556
53,1551
54,1576
55,1496
56,1491
57,1586
58,1491
59,1546
60,1556
61,1416
62,1481
63,1561
64,1567
65,1531
66,1491
67,1516
68,1536
69,1566
70,1336
71,1566
72,1551
73,1466
74,1511
75,1446
76,1401
77,1566
78,1511
79,1561
80,1466
81,1471
82,1566
83,1361
84,1586
85,1526
86,1581
87,1571
88,1526
89,1406
90,1586
91,1551
92,1561
93,1451
94,1456
95,1556
96,1566
97,1456
98,1556
99,1571
