Node,Death_Round
0,1631
1,1436
2,1561
3,1631
4,1591
5,1626
6,1606
7,1551
8,1591
9,1526
10,1556
11,1626
12,1641
13,1451
14,1576
15,1551
16,1609
17,1606
18,1616
19,1616
20,1641
21,1476
22,1618
23,1611
24,1356
25,1441
26,1636
27,1616
28,1616
29,1601
30,1621
31,1621
32,1536
33,1611
34,1521
35,1591
36,1621
37,1601
38,1491
39,1531
40,1461
41,1621
42,1616
43,1626
44,1596
45,1566
46,1616
47,1596
48,1551
49,1615
50,1591
51,1626
52,1621
53,1611
54,1526
55,1641
56,1631
57,1626
58,1621
59,1591
60,1491
61,1486
62,1531
63,1551
64,1636
65,1541
66,1571
67,1521
68,1631
69,1591
70,1551
71,1596
72,1616
73,1561
74,1496
75,1611
76,1521
77,1556
78,1491
79,1541
80,1616
81,1611
82,1611
83,1571
84,1617
85,1616
86,1561
87,1626
88,1576
89,1591
90,1416
91,1591
92,1526
93,1626
94,1571
95,1551
96,1626
97,1576
98,1616
99,1576
