Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0520284536,49.9479715464,8.3333333333,41.8282029295,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,11
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0253453912,49.9226261552,8.3333333333,41.8282029295,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0253453912,49.8972807640,8.3333333333,41.8282029295,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0253453912,49.8719353728,8.3333333333,41.8282029295,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0253453912,49.8465899816,8.3333333333,41.8282029295,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,11
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0501630022,49.7964269794,9.0909090909,43.3431426590,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0252874103,49.7711395691,9.0909090909,43.3431426590,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0252874103,49.7458521589,9.0909090909,43.3431426590,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0252874103,49.7205647486,9.0909090909,43.3431426590,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0252874103,49.6952773384,9.0909090909,43.3431426590,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0404804423,49.6547968961,20.0000000000,30.2982622686,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0262413421,49.6285555540,20.0000000000,30.2982622686,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0262413421,49.6023142120,20.0000000000,30.2982622686,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0262413421,49.5760728699,20.0000000000,30.2982622686,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0262413421,49.5498315279,20.0000000000,30.2982622686,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0417377114,49.5080938165,16.6666666667,39.8925325992,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0257796932,49.4823141233,16.6666666667,39.8925325992,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0257796932,49.4565344301,16.6666666667,39.8925325992,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0257796932,49.4307547369,16.6666666667,39.8925325992,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0257796932,49.4049750438,16.6666666667,39.8925325992,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0422795803,49.3626954635,16.6666666667,37.0310976373,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0262273713,49.3364680922,16.6666666667,37.0310976373,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0262273713,49.3102407209,16.6666666667,37.0310976373,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0262273713,49.2840133497,16.6666666667,37.0310976373,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0262273713,49.2577859784,16.6666666667,37.0310976373,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0411884371,49.2165975413,20.0000000000,23.5654777939,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0269563889,49.1896411525,20.0000000000,23.5654777939,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0269563889,49.1626847636,20.0000000000,23.5654777939,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0269563889,49.1357283747,20.0000000000,23.5654777939,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0269563889,49.1087719858,20.0000000000,23.5654777939,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0488100687,49.0599619172,10.0000000000,32.8230588730,1.0000000000,0.9753600000,215.7152230971,0,0,0,0,9
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0256832213,49.0342786959,10.0000000000,32.8230588730,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0256832213,49.0085954746,10.0000000000,32.8230588730,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0256832213,48.9829122532,10.0000000000,32.8230588730,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0256832213,48.9572290319,10.0000000000,32.8230588730,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0374955182,48.9197335138,33.3333333333,22.7238702135,1.0000000000,0.9668480000,217.6143509631,0,0,0,0,2
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0268420066,48.8928915072,33.3333333333,22.7238702135,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0268420066,48.8660495006,33.3333333333,22.7238702135,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0268420066,48.8392074941,33.3333333333,22.7238702135,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0268420066,48.8123654875,33.3333333333,22.7238702135,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,2
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0427608394,48.7696046481,16.6666666667,26.0902777674,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0266765549,48.7429280931,16.6666666667,26.0902777674,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0266765549,48.7162515382,16.6666666667,26.0902777674,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0266765549,48.6895749832,16.6666666667,26.0902777674,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0266765549,48.6628984283,16.6666666667,26.0902777674,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0468356179,48.6160628104,11.1111111111,44.1847881524,1.0000000000,0.9741440000,215.9844951054,0,0,0,0,8
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0255261211,48.5905366893,11.1111111111,44.1847881524,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,8
