Node,Death_Round
0,1141
1,1086
2,1086
3,1121
4,1036
5,1091
6,1116
7,1206
8,1141
9,1241
10,1196
11,1086
12,1066
13,1116
14,1261
15,1211
16,1136
17,1116
18,1126
19,1231
20,1021
21,1046
22,1026
23,1196
24,1176
25,1091
26,1211
27,1271
28,1201
29,1256
30,1121
31,1056
32,1221
33,1181
34,1006
35,1151
36,1186
37,1156
38,1266
39,1116
40,1146
41,1091
42,1246
43,1171
44,1046
45,1106
46,1256
47,1236
48,1276
49,1271
50,1246
51,1131
52,1166
53,1231
54,1126
55,1261
56,1191
57,1156
58,1006
59,1166
60,1226
61,1136
62,1141
63,1176
64,1201
65,1121
66,1221
67,1101
68,1236
69,1216
70,956
71,1241
72,1096
73,1141
74,1121
75,1206
76,1181
77,1056
78,1161
79,1251
80,1066
81,1111
82,1135
83,1086
84,1141
85,1191
86,1226
87,1266
88,1151
89,1251
90,1171
91,1101
92,1136
93,1241
94,1146
95,1161
96,1186
97,1016
98,1136
99,1216
