Node,Death_Round
0,936
1,1041
2,1041
3,1016
4,956
5,966
6,1031
7,971
8,891
9,901
10,1001
11,1026
12,931
13,1001
14,1021
15,921
16,1061
17,866
18,1011
19,966
20,886
21,871
22,1051
23,891
24,976
25,1016
26,1056
27,1036
28,946
29,966
30,881
31,976
32,1031
33,951
34,856
35,1051
36,896
37,956
38,921
39,991
40,991
41,1006
42,1016
43,1051
44,961
45,991
46,911
47,911
48,926
49,951
50,1016
51,926
52,1056
53,1046
54,921
55,1051
56,931
57,986
58,1011
59,1031
60,1006
61,941
62,926
63,1046
64,926
65,971
66,1056
67,966
68,931
69,1001
70,996
71,971
72,841
73,996
74,861
75,946
76,1011
77,1051
78,931
79,956
80,981
81,996
82,981
83,950
84,1036
85,1011
86,1051
87,1026
88,916
89,1021
90,1041
91,1056
92,1051
93,961
94,946
95,956
96,1006
97,1026
98,986
99,1016
