Node,Death_Round
0,166
1,106
2,7
3,7
4,151
5,126
6,46
7,41
8,6
9,101
10,76
11,21
12,136
13,121
14,11
15,131
16,66
17,86
18,126
19,81
20,66
21,106
22,61
23,61
24,86
25,96
26,41
27,116
28,136
29,171
30,86
31,96
32,91
33,11
34,121
35,6
36,21
37,7
38,141
39,56
40,66
41,41
42,61
43,126
44,26
45,56
46,26
47,156
48,31
49,14
50,111
51,166
52,6
53,51
54,161
55,46
56,51
57,91
58,131
59,146
60,71
61,11
62,141
63,81
64,81
65,161
66,26
67,9
68,16
69,8
70,13
71,101
72,156
73,12
74,36
75,96
76,131
77,61
78,21
79,36
80,116
81,111
82,136
83,76
84,27
85,146
86,141
87,71
88,81
89,22
90,151
91,141
92,32
93,96
94,101
95,13
96,12
97,13
98,8
99,17
