Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,98,2,3,100,13,87,0,1,103,491,57,57,2.5331015713,47.4226382287,32.6666666667,80.3326849069,0.1300000000,0.7570880000,40.3863223298,2,0,0,0,0
2,96,4,3,98,11,87,0,0,1,9,52,52,2.3242367602,45.0984014685,4.3333333333,17.9614090268,0.1122448980,0.4913600000,52.6538586780,0,2,1,0,0
3,95,5,1,96,3,93,0,0,0,0,13,13,0.5200292983,44.5783721703,1.0000000000,9.4083686067,0.0312500000,0.1223040000,57.6923076923,0,1,0,3,0
4,95,5,0,95,95,0,0,0,0,0,95,95,2.3354139965,42.2429581737,0.0000000000,9.4085190787,1.0000000000,0.8937600000,250.0000000000,0,0,0,95,0
5,95,5,0,95,95,0,0,0,0,0,95,95,2.3354139965,39.9075441772,0.0000000000,9.4085190787,1.0000000000,0.8937600000,250.0000000000,0,0,0,95,0
6,93,7,4,95,35,60,0,1,99,558,75,75,3.3089078963,36.5986362809,23.2500000000,39.2459571980,0.3684210526,0.9178560000,89.6872712059,2,0,0,0,0
7,91,9,4,93,33,60,0,0,2,29,70,70,3.1094328858,33.4892033951,8.7500000000,18.2464108701,0.3548387097,0.6628480000,117.0947185478,0,2,2,0,0
8,89,11,2,91,0,91,0,0,0,0,4,4,0.1993422771,33.2898611181,1.0000000000,0.0000000000,0.0000000000,0.0376320000,0.0000000000,0,2,0,0,0
9,89,11,0,89,89,0,0,0,0,0,89,89,2.1910200700,31.0988410481,0.0000000000,9.4085215501,1.0000000000,0.8373120000,250.0000000000,0,0,0,89,0
10,89,11,0,89,88,1,0,0,0,0,88,88,2.1678196496,28.9310213986,0.0000000000,9.4085227035,0.9887640449,0.8279040000,250.0000000000,0,0,0,88,0
11,87,13,3,89,13,76,0,1,92,436,46,46,2.0420078705,26.8890135280,28.3333333333,62.9630555013,0.1460674157,0.6300160000,48.5321007720,2,0,0,0,0
12,85,15,3,87,11,76,0,0,1,9,44,44,1.9767194237,24.9122941044,4.3333333333,17.9612580255,0.1264367816,0.4160960000,62.1779589326,0,2,1,0,0
13,84,16,1,85,0,85,0,0,0,0,5,5,0.2470197896,24.6652743148,1.0000000000,0.0000000000,0.0000000000,0.0470400000,0.0000000000,0,1,0,0,0
14,84,16,0,84,82,2,0,0,0,0,82,82,2.0239446150,22.6413296998,0.0000000000,9.4085255015,0.9761904762,0.7714560000,250.0000000000,0,0,0,82,0
15,84,16,0,84,81,3,0,0,0,0,81,81,1.9971360688,20.6441936310,0.0000000000,9.4085239835,0.9642857143,0.7620480000,250.0000000000,0,0,0,81,0
16,80,20,5,84,13,71,0,1,89,573,62,62,2.7820103333,17.8621832978,15.4000000000,86.1222053749,0.1547619048,0.7741120000,39.4981604729,4,0,0,0,0
17,76,24,5,80,9,71,0,0,1,7,63,63,2.8608768340,15.0013064637,2.6000000000,17.7711910828,0.1125000000,0.5948480000,35.5855613535,0,4,1,0,0
18,75,25,1,76,0,76,0,0,0,0,5,5,0.2433764163,14.7579300474,1.0000000000,0.0000000000,0.0000000000,0.0470400000,0.0000000000,0,1,0,0,0
19,75,25,0,75,72,3,0,0,0,0,72,72,1.7774032992,12.9805267483,0.0000000000,9.4085245059,0.9600000000,0.6773760000,250.0000000000,0,0,0,72,0
20,75,25,0,75,72,3,0,0,0,0,72,72,1.7774032992,11.2031234491,0.0000000000,9.4085245059,0.9600000000,0.6773760000,250.0000000000,0,0,0,72,0
21,74,26,1,75,1,74,0,1,76,222,13,13,0.5800325737,10.6230908754,71.0000000000,235.2094830346,0.0133333333,0.2852480000,8.2454565851,1,0,0,0,0
22,73,27,1,74,0,74,0,0,0,0,12,12,0.5400218562,10.0830690192,1.0000000000,0.0000000000,0.0000000000,0.1128960000,0.0000000000,0,1,0,0,0
23,73,27,0,73,65,8,0,0,0,0,65,65,1.6043227004,8.4787463188,0.0000000000,9.4085250951,0.8904109589,0.6115200000,250.0000000000,0,0,0,65,0
24,73,27,0,73,63,10,0,0,0,0,63,63,1.5545515795,6.9241947393,0.0000000000,9.4085256053,0.8630136986,0.5927040000,250.0000000000,0,0,0,63,0
25,73,27,0,73,56,17,0,0,0,0,56,56,1.3824054210,5.5417893183,0.0000000000,9.4085252582,0.7671232877,0.5268480000,250.0000000000,0,0,0,56,0
26,71,29,1,72,1,71,0,1,73,213,10,10,0.4542372525,5.0875520658,65.0000000000,122.3077340653,0.0138888889,0.2505920000,9.3857744860,1,0,0,0,0
27,70,30,1,71,0,71,0,0,0,0,7,7,0.3326630072,4.7548890586,1.0000000000,0.0000000000,0.0000000000,0.0658560000,0.0000000000,0,1,0,0,0
28,70,30,0,70,41,29,0,0,0,0,41,41,1.0103406856,3.7445483731,0.0000000000,9.4085202839,0.5857142857,0.3857280000,250.0000000000,0,0,0,41,0
