Node,Death_Round
0,255
1,296
2,341
3,351
4,261
5,291
6,296
7,371
8,258
9,291
10,346
11,346
12,296
13,276
14,240
15,242
16,321
17,326
18,306
19,276
20,296
21,321
22,233
23,351
24,306
25,291
26,267
27,296
28,253
29,301
30,235
31,341
32,266
33,271
34,361
35,311
36,203
37,336
38,237
39,276
40,286
41,376
42,251
43,286
44,228
45,311
46,296
47,291
48,301
49,281
50,286
51,233
52,316
53,266
54,250
55,291
56,228
57,291
58,301
59,366
60,356
61,223
62,233
63,366
64,238
65,316
66,235
67,251
68,311
69,218
70,296
71,331
72,291
73,213
74,271
75,346
76,238
77,260
78,336
79,291
80,286
81,271
82,371
83,361
84,208
85,331
86,245
87,281
88,264
89,262
90,356
91,248
92,233
93,240
94,213
95,306
96,376
97,281
98,296
99,326
