Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,3,97,0,1,103,491,3,3,0.1709013848,49.7335396152,33.3333333333,12.3526064848,0.0300000000,0.5611200000,16.5098374679,0,0,0,0,0
2,100,0,3,100,3,97,0,0,0,0,3,3,0.1215261668,49.6120134484,33.3333333333,12.3526064848,0.0300000000,0.0370560000,250.0000000000,0,0,0,0,0
3,100,0,3,100,3,97,0,0,0,0,3,3,0.1215261668,49.4904872817,33.3333333333,12.3526064848,0.0300000000,0.0370560000,250.0000000000,0,0,0,0,0
4,100,0,3,100,3,97,0,0,0,0,3,3,0.1215261668,49.3689611149,33.3333333333,12.3526064848,0.0300000000,0.0370560000,250.0000000000,0,0,0,0,0
5,100,0,3,100,3,97,0,0,0,0,3,3,0.1215261668,49.2474349482,33.3333333333,12.3526064848,0.0300000000,0.0370560000,250.0000000000,0,0,0,0,0
6,100,0,11,100,11,89,0,1,111,1267,11,11,0.5377440253,48.7096909229,9.0909090909,12.3525669709,0.1100000000,0.7006400000,48.4813884449,0,0,0,0,0
7,100,0,11,100,11,89,0,0,0,0,11,11,0.4361301186,48.2735608043,9.0909090909,12.3525669709,0.1100000000,0.1358720000,250.0000000000,0,0,0,0,0
8,100,0,11,100,11,89,0,0,0,0,11,11,0.4361301186,47.8374306857,9.0909090909,12.3525669709,0.1100000000,0.1358720000,250.0000000000,0,0,0,0,0
9,100,0,11,100,11,89,0,0,0,0,11,11,0.4361301186,47.4013005671,9.0909090909,12.3525669709,0.1100000000,0.1358720000,250.0000000000,0,0,0,0,0
10,100,0,11,100,11,89,0,0,0,0,11,11,0.4361301186,46.9651704485,9.0909090909,12.3525669709,0.1100000000,0.1358720000,250.0000000000,0,0,0,0,0
11,100,0,7,100,7,93,0,1,107,879,7,7,0.3399951275,46.6251753211,14.2857142857,12.3524729016,0.0700000000,0.6308800000,34.2632513315,0,0,0,0,0
12,100,0,7,100,7,93,0,0,0,0,7,7,0.2652661357,46.3599091854,14.2857142857,12.3524729016,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
13,100,0,7,100,7,93,0,0,0,0,7,7,0.2652661357,46.0946430496,14.2857142857,12.3524729016,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
14,100,0,7,100,7,93,0,0,0,0,7,7,0.2652661357,45.8293769139,14.2857142857,12.3524729016,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
15,100,0,7,100,7,93,0,0,0,0,7,7,0.2652661357,45.5641107782,14.2857142857,12.3524729016,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
16,100,0,7,100,7,93,0,1,107,879,7,7,0.3529850617,45.2111257165,14.2857142857,12.3525698258,0.0700000000,0.6308800000,34.2632513315,0,0,0,0,0
17,100,0,7,100,7,93,0,0,0,0,7,7,0.2784448815,44.9326808350,14.2857142857,12.3525698258,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
18,100,0,7,100,7,93,0,0,0,0,7,7,0.2784448815,44.6542359535,14.2857142857,12.3525698258,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
19,100,0,7,100,7,93,0,0,0,0,7,7,0.2784448815,44.3757910719,14.2857142857,12.3525698258,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
20,100,0,7,100,7,93,0,0,0,0,7,7,0.2784448815,44.0973461904,14.2857142857,12.3525698258,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
21,100,0,6,100,6,94,0,1,106,782,6,6,0.2992171078,43.7981290826,16.6666666667,12.3525048852,0.0600000000,0.6134400000,30.2034428795,0,0,0,0,0
22,100,0,6,100,6,94,0,0,0,0,6,6,0.2313663707,43.5667627120,16.6666666667,12.3525048852,0.0600000000,0.0741120000,250.0000000000,0,0,0,0,0
23,100,0,6,100,6,94,0,0,0,0,6,6,0.2313663707,43.3353963413,16.6666666667,12.3525048852,0.0600000000,0.0741120000,250.0000000000,0,0,0,0,0
24,100,0,6,100,6,94,0,0,0,0,6,6,0.2313663707,43.1040299706,16.6666666667,12.3525048852,0.0600000000,0.0741120000,250.0000000000,0,0,0,0,0
25,100,0,6,100,6,94,0,0,0,0,6,6,0.2313663707,42.8726636000,16.6666666667,12.3525048852,0.0600000000,0.0741120000,250.0000000000,0,0,0,0,0
26,100,0,7,100,7,93,0,1,107,879,7,7,0.3450711441,42.5275924559,14.2857142857,12.3525239154,0.0700000000,0.6308800000,34.2632513315,0,0,0,0,0
27,100,0,7,100,7,93,0,0,0,0,7,7,0.2705042963,42.2570881596,14.2857142857,12.3525239154,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
28,100,0,7,100,7,93,0,0,0,0,7,7,0.2705042963,41.9865838633,14.2857142857,12.3525239154,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
29,100,0,7,100,7,93,0,0,0,0,7,7,0.2705042963,41.7160795670,14.2857142857,12.3525239154,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
30,100,0,7,100,7,93,0,0,0,0,7,7,0.2705042963,41.4455752707,14.2857142857,12.3525239154,0.0700000000,0.0864640000,250.0000000000,0,0,0,0,0
31,100,0,8,100,8,92,0,1,108,976,8,8,0.3943088380,41.0512664326,12.5000000000,12.3525524866,0.0800000000,0.6483200000,38.1046396841,0,0,0,0,0
32,100,0,8,100,8,92,0,0,0,0,8,8,0.3130243514,40.7382420812,12.5000000000,12.3525524866,0.0800000000,0.0988160000,250.0000000000,0,0,0,0,0
33,100,0,8,100,8,92,0,0,0,0,8,8,0.3130243514,40.4252177297,12.5000000000,12.3525524866,0.0800000000,0.0988160000,250.0000000000,0,0,0,0,0
34,100,0,8,100,8,92,0,0,0,0,8,8,0.3130243514,40.1121933783,12.5000000000,12.3525524866,0.0800000000,0.0988160000,250.0000000000,0,0,0,0,0
35,100,0,8,100,8,92,0,0,0,0,8,8,0.3130243514,39.7991690268,12.5000000000,12.3525524866,0.0800000000,0.0988160000,250.0000000000,0,0,0,0,0
36,100,0,6,100,6,94,0,1,106,782,6,6,0.3020422086,39.4971268183,16.6666666667,12.3525350661,0.0600000000,0.6134400000,30.2034428795,0,0,0,0,0
37,100,0,6,100,6,94,0,0,0,0,6,6,0.2345924842,39.2625343341,16.6666666667,12.3525350661,0.0600000000,0.0741120000,250.0000000000,0,0,0,0,0
