Node,Death_Round
0,1561
1,1566
2,1556
3,1576
4,1571
5,1566
6,1391
7,1566
8,1511
9,1476
10,1546
11,1471
12,1431
13,1586
14,1511
15,1506
16,1491
17,1481
18,1526
19,1551
20,1491
21,1481
22,1586
23,1431
24,1576
25,1566
26,1586
27,1576
28,1566
29,1561
30,1571
31,1561
32,1591
33,1571
34,1456
35,1546
36,1546
37,1471
38,1571
39,1501
40,1516
41,1586
42,1566
43,1486
44,1561
45,1331
46,1486
47,1576
48,1566
49,1562
50,1591
51,1516
52,1571
53,1541
54,1521
55,1566
56,1511
57,1396
58,1526
59,1406
60,1576
61,1431
62,1516
63,1586
64,1461
65,1576
66,1491
67,1566
68,1481
69,1456
70,1581
71,1546
72,1466
73,1491
74,1566
75,1591
76,1501
77,1446
78,1426
79,1581
80,1581
81,1536
82,1546
83,1561
84,1421
85,1471
86,1571
87,1541
88,1506
89,1516
90,1557
91,1586
92,1511
93,1556
94,1486
95,1536
96,1581
97,1586
98,1526
99,1555
