Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,1,100,100,0,0,1,101,297,100,100,0.0402710783,48.4197289217,100.0000000000,16.7485734365,1.0000000000,0.9644160000,218.1631163315,0,0,0,0,0
2,100,0,1,100,100,0,0,0,0,0,100,100,0.0325495074,48.3871794143,100.0000000000,16.7485734365,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,0
3,100,0,1,100,100,0,0,0,0,0,100,100,0.0325495074,48.3546299070,100.0000000000,16.7485734365,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,0
4,100,0,1,100,100,0,0,0,0,0,100,100,0.0325495074,48.3220803996,100.0000000000,16.7485734365,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,0
5,100,0,1,100,100,0,0,0,0,0,100,100,0.0325495074,48.2895308923,100.0000000000,16.7485734365,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,0
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0511186417,48.2384122505,9.0909090909,41.2390976387,1.0000000000,0.9765760000,215.4466216659,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0261307897,48.2122814609,9.0909090909,41.2390976387,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0261307897,48.1861506712,9.0909090909,41.2390976387,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0261307897,48.1600198815,9.0909090909,41.2390976387,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0261307897,48.1338890919,9.0909090909,41.2390976387,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,10
11,100,0,10,100,100,0,0,1,109,1170,100,100,0.0490129048,48.0848761871,10.0000000000,45.3629296967,1.0000000000,0.9741440000,215.9844951054,0,0,0,0,9
12,100,0,10,100,100,0,0,0,0,0,100,100,0.0258902410,48.0589859461,10.0000000000,45.3629296967,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
13,100,0,10,100,100,0,0,0,0,0,100,100,0.0258902410,48.0330957051,10.0000000000,45.3629296967,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
14,100,0,10,100,100,0,0,0,0,0,100,100,0.0258902410,48.0072054642,10.0000000000,45.3629296967,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
15,100,0,10,100,100,0,0,0,0,0,100,100,0.0258902410,47.9813152232,10.0000000000,45.3629296967,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
16,100,0,4,100,100,0,0,1,104,588,100,100,0.0387117494,47.9426034739,25.0000000000,32.7390003716,1.0000000000,0.9680640000,217.3410022478,0,0,0,0,3
17,100,0,4,100,100,0,0,0,0,0,100,100,0.0262554967,47.9163479771,25.0000000000,32.7390003716,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
18,100,0,4,100,100,0,0,0,0,0,100,100,0.0262554967,47.8900924804,25.0000000000,32.7390003716,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
19,100,0,4,100,100,0,0,0,0,0,100,100,0.0262554967,47.8638369836,25.0000000000,32.7390003716,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
20,100,0,4,100,100,0,0,0,0,0,100,100,0.0262554967,47.8375814869,25.0000000000,32.7390003716,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,3
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0419967519,47.7955847349,16.6666666667,35.1796282929,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0260428623,47.7695418726,16.6666666667,35.1796282929,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0260428623,47.7434990104,16.6666666667,35.1796282929,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0260428623,47.7174561481,16.6666666667,35.1796282929,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0260428623,47.6914132858,16.6666666667,35.1796282929,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
26,100,0,7,100,100,0,0,1,107,879,100,100,0.0434110325,47.6480022533,14.2857142857,36.1053005994,1.0000000000,0.9717120000,216.5250609234,0,0,0,0,6
