Node,Death_Round
0,1551
1,1546
2,1466
3,1571
4,1536
5,1551
6,1501
7,1566
8,1561
9,1536
10,1551
11,1516
12,1426
13,1481
14,1431
15,1571
16,1466
17,1396
18,1386
19,1376
20,1466
21,1521
22,1476
23,1486
24,1561
25,1561
26,1546
27,1561
28,1561
29,1556
30,1531
31,1556
32,1456
33,1491
34,1576
35,1576
36,1511
37,1521
38,1526
39,1431
40,1511
41,1551
42,1546
43,1546
44,1541
45,1536
46,1541
47,1496
48,1371
49,1501
50,1571
51,1376
52,1516
53,1571
54,1531
55,1476
56,1556
57,1541
58,1431
59,1516
60,1546
61,1491
62,1471
63,1456
64,1542
65,1531
66,1561
67,1546
68,1541
69,1556
70,1521
71,1516
72,1471
73,1431
74,1376
75,1536
76,1521
77,1456
78,1581
79,1516
80,1566
81,1461
82,1336
83,1401
84,1531
85,1466
86,1551
87,1571
88,1411
89,1556
90,1531
91,1471
92,1531
93,1491
94,1541
95,1441
96,1536
97,1476
98,1541
99,1471
