Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,10,100,100,0,0,1,109,1170,100,100,0.0487370451,47.7212629549,10.0000000000,32.2338948543,1.0000000000,0.9741440000,215.9844951054,0,0,0,0,9
2,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.6956560615,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
3,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.6700491680,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
4,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.6444422746,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
5,100,0,10,100,100,0,0,0,0,0,100,100,0.0256068935,47.6188353811,10.0000000000,32.2338948543,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
6,100,0,10,100,100,0,0,1,110,1170,100,100,0.0494583228,47.5693770583,10.0000000000,42.9223081033,1.0000000000,0.9753600000,215.7152230971,0,0,0,0,9
7,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.5431055210,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
8,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.5168339838,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
9,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.4905624465,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
10,100,0,10,100,100,0,0,0,0,0,100,100,0.0262715373,47.4642909092,10.0000000000,42.9223081033,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,9
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0404792766,47.4238116327,20.0000000000,32.4023894256,1.0000000000,0.9692800000,217.0683393859,0,0,0,0,4
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,47.3975725983,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,47.3713335638,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,47.3450945294,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0262390344,47.3188554950,20.0000000000,32.4023894256,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,4
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0456646938,47.2731908012,14.2857142857,34.1696071905,1.0000000000,0.9717120000,216.5250609234,0,0,0,0,6
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,47.2455289908,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,47.2178671804,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,47.1902053700,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0276618104,47.1625435596,14.2857142857,34.1696071905,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,6
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0428889269,47.1196546326,16.6666666667,32.6547061553,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,47.0929088357,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,47.0661630387,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,47.0394172417,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0267457970,47.0126714447,16.6666666667,32.6547061553,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
26,100,0,6,100,100,0,0,1,106,782,100,100,0.0426859595,46.9699854852,16.6666666667,29.8774757959,1.0000000000,0.9704960000,216.7963597995,0,0,0,0,5
27,100,0,6,100,100,0,0,0,0,0,100,100,0.0265870082,46.9433984770,16.6666666667,29.8774757959,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
28,100,0,6,100,100,0,0,0,0,0,100,100,0.0265870082,46.9168114687,16.6666666667,29.8774757959,1.0000000000,0.8416000000,250.0000000000,0,0,0,0,5
