Node,Death_Round
0,981
1,906
2,866
3,946
4,791
5,811
6,921
7,966
8,746
9,981
10,1011
11,766
12,881
13,986
14,851
15,821
16,951
17,986
18,1011
19,1006
20,996
21,896
22,826
23,836
24,966
25,931
26,971
27,871
28,786
29,901
30,976
31,926
32,716
33,981
34,956
35,936
36,976
37,926
38,941
39,921
40,991
41,851
42,956
43,881
44,826
45,900
46,876
47,791
48,961
49,846
50,961
51,1011
52,971
53,956
54,881
55,886
56,726
57,941
58,1016
59,991
60,1001
61,931
62,911
63,871
64,1016
65,936
66,766
67,951
68,946
69,1006
70,891
71,976
72,1006
73,926
74,916
75,981
76,996
77,886
78,951
79,912
80,886
81,916
82,796
83,996
84,826
85,976
86,881
87,981
88,981
89,731
90,1021
91,756
92,921
93,896
94,1001
95,1006
96,831
97,831
98,901
99,897
