Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Backup_Rejected,Proactive_Handovers,Direct_To_BS,CH_Relays
1,100,0,3,100,100,0,0,1,103,491,100,100,0.0662276237,49.9086695763,33.3333333333,24.4231742579,1.0000000000,0.9732480000,217.8273163675,0,0,0,0,2
2,100,0,3,100,100,0,0,0,0,0,100,100,0.0533723772,49.8552971991,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
3,100,0,3,100,100,0,0,0,0,0,100,100,0.0533723772,49.8019248219,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
4,100,0,3,100,100,0,0,0,0,0,100,100,0.0533723772,49.7485524447,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
5,100,0,3,100,100,0,0,0,0,0,100,100,0.0533723772,49.6951800676,33.3333333333,24.4231742579,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,2
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0743409705,49.6208390971,9.0909090909,37.3127029717,1.0000000000,0.9829760000,215.6715932027,0,0,0,0,10
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0478093258,49.5730297713,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0478093258,49.5252204454,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0478093258,49.4774111196,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0478093258,49.4296017937,9.0909090909,37.3127029717,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,10
11,100,0,7,100,100,0,0,1,107,879,100,100,0.0680085672,49.3615932266,14.2857142857,42.1462286067,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
12,100,0,7,100,100,0,0,0,0,0,100,100,0.0484980881,49.3130951384,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
13,100,0,7,100,100,0,0,0,0,0,100,100,0.0484980881,49.2645970503,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
14,100,0,7,100,100,0,0,0,0,0,100,100,0.0484980881,49.2160989621,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
15,100,0,7,100,100,0,0,0,0,0,100,100,0.0484980881,49.1676008740,14.2857142857,42.1462286067,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
16,100,0,7,100,100,0,0,1,107,879,100,100,0.0682078751,49.0993929990,14.2857142857,35.7863019115,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
17,100,0,7,100,100,0,0,0,0,0,100,100,0.0487425208,49.0506504782,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
18,100,0,7,100,100,0,0,0,0,0,100,100,0.0487425208,49.0019079574,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
19,100,0,7,100,100,0,0,0,0,0,100,100,0.0487425208,48.9531654366,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
20,100,0,7,100,100,0,0,0,0,0,100,100,0.0487425208,48.9044229158,14.2857142857,35.7863019115,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0664674041,48.8379555117,16.6666666667,28.4934719100,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0487497447,48.7892057670,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0487497447,48.7404560223,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0487497447,48.6917062777,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0487497447,48.6429565330,16.6666666667,28.4934719100,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
26,100,0,7,100,100,0,0,1,107,879,100,100,0.0682529055,48.5747036275,14.2857142857,31.5462411762,1.0000000000,0.9781120000,216.7440947458,0,0,0,0,6
27,100,0,7,100,100,0,0,0,0,0,100,100,0.0487811778,48.5259224497,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
28,100,0,7,100,100,0,0,0,0,0,100,100,0.0487811778,48.4771412718,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
29,100,0,7,100,100,0,0,0,0,0,100,100,0.0487811778,48.4283600940,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
30,100,0,7,100,100,0,0,0,0,0,100,100,0.0487811778,48.3795789162,14.2857142857,31.5462411762,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,6
31,100,0,8,100,100,0,0,1,108,976,100,100,0.0701259710,48.3094529451,12.5000000000,28.4934862963,1.0000000000,0.9793280000,216.4749705921,0,0,0,0,7
32,100,0,8,100,100,0,0,0,0,0,100,100,0.0488998099,48.2605531352,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
33,100,0,8,100,100,0,0,0,0,0,100,100,0.0488998099,48.2116533253,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
34,100,0,8,100,100,0,0,0,0,0,100,100,0.0488998099,48.1627535153,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
35,100,0,8,100,100,0,0,0,0,0,100,100,0.0488998099,48.1138537054,12.5000000000,28.4934862963,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,7
36,100,0,6,100,100,0,0,1,106,782,100,100,0.0658722160,48.0479814894,16.6666666667,27.0518411022,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
37,100,0,6,100,100,0,0,0,0,0,100,100,0.0482503961,47.9997310934,16.6666666667,27.0518411022,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
38,100,0,6,100,100,0,0,0,0,0,100,100,0.0482503961,47.9514806973,16.6666666667,27.0518411022,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
39,100,0,6,100,100,0,0,0,0,0,100,100,0.0482503961,47.9032303012,16.6666666667,27.0518411022,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
40,100,0,6,100,100,0,0,0,0,0,100,100,0.0482503961,47.8549799052,16.6666666667,27.0518411022,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0663805922,47.7885993130,16.6666666667,28.5782574411,1.0000000000,0.9768960000,217.0138888889,0,0,0,0,5
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0486785648,47.7399207482,16.6666666667,28.5782574411,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0486785648,47.6912421834,16.6666666667,28.5782574411,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0486785648,47.6425636187,16.6666666667,28.5782574411,1.0000000000,0.8480000000,250.0000000000,0,0,0,0,5
