Node,Death_Round
0,716
1,756
2,806
3,796
4,616
5,541
6,826
7,566
8,821
9,571
10,806
11,751
12,742
13,737
14,766
15,696
16,736
17,771
18,776
19,561
20,801
21,696
22,841
23,761
24,786
25,801
26,761
27,836
28,746
29,576
30,641
31,836
32,816
33,656
34,816
35,726
36,736
37,776
38,801
39,741
40,541
41,771
42,616
43,816
44,786
45,826
46,796
47,736
48,681
49,661
50,626
51,526
52,796
53,595
54,596
55,571
56,726
57,751
58,786
59,781
60,766
61,561
62,681
63,741
64,736
65,738
66,841
67,506
68,436
69,621
70,571
71,696
72,742
73,336
74,736
75,831
76,686
77,651
78,791
79,811
80,791
81,751
82,756
83,841
84,646
85,741
86,631
87,731
88,686
89,746
90,686
91,781
92,846
93,821
94,626
95,831
96,846
97,716
98,736
99,811
