Node,Death_Round
0,2161
1,2191
2,2081
3,1991
4,2291
5,2231
6,2171
7,2061
8,1941
9,2070
10,2181
11,2121
12,1901
13,2221
14,1931
15,1991
16,2171
17,2031
18,2141
19,2071
20,2161
21,1751
22,1734
23,2031
24,1956
25,2149
26,2071
27,2201
28,1861
29,2211
30,1751
31,2121
32,1871
33,1970
34,2241
35,1588
36,1818
37,2111
38,1540
39,2120
40,2181
41,2091
42,2231
43,1920
44,2032
45,2049
46,1571
47,2174
48,1691
49,2101
50,2170
51,1670
52,1927
53,2281
54,2110
55,2111
56,1921
57,2181
58,2001
59,2240
60,2090
61,1851
62,1844
63,1790
64,2071
65,2271
66,2135
67,2200
68,2211
69,2141
70,2091
71,2211
72,2191
73,2101
74,2161
75,1941
76,2211
77,2041
78,1921
79,1981
80,2051
81,2100
82,2080
83,2261
84,2181
85,2131
86,2019
87,2251
88,2031
89,2029
90,2201
91,2131
92,1799
93,2061
94,1921
95,2161
96,1981
97,2031
98,2187
99,2181
