Node,Death_Round
0,539
1,564
2,721
3,778
4,655
5,765
6,420
7,599
8,518
9,731
10,483
11,637
12,503
13,446
14,432
15,343
16,446
17,514
18,775
19,648
20,402
21,401
22,933
23,366
24,406
25,617
26,444
27,1036
28,444
29,1218
30,451
31,517
32,472
33,656
34,509
35,412
36,355
37,748
38,352
39,450
40,476
41,584
42,821
43,561
44,606
45,416
46,444
47,912
48,498
49,657
50,894
51,482
52,405
53,896
54,488
55,821
56,483
57,861
58,558
59,933
60,575
61,355
62,474
63,373
64,616
65,453
66,409
67,746
68,553
69,845
70,631
71,612
72,635
73,383
74,364
75,462
76,557
77,471
78,529
79,574
80,466
81,397
82,494
83,642
84,362
85,467
86,583
87,1059
88,587
89,320
90,874
91,497
92,522
93,697
94,470
95,855
96,813
97,733
98,618
99,566
