Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835777647,49.9164222353,9.0909090909,15.1201726444,1.0000000000,1.2000000000,166.6666666667
2,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835557561,49.8328664792,9.0909090909,15.1201656662,1.0000000000,1.2000000000,166.6666666667
3,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836408540,49.7492256252,10.0000000000,15.2001713801,1.0000000000,1.2000000000,166.6666666667
4,100,0,9,100,100,0,0,4,500,5742,100,100,0.0837994813,49.6654261439,11.1111111111,15.2801686953,1.0000000000,1.2000000000,166.6666666667
5,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836582231,49.5817679208,10.0000000000,15.2001698568,1.0000000000,1.2000000000,166.6666666667
6,100,0,9,100,100,0,0,4,500,5742,100,100,0.0837899657,49.4979779551,11.1111111111,15.2801704840,1.0000000000,1.2000000000,166.6666666667
7,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835240274,49.4144539277,9.0909090909,15.1201704366,1.0000000000,1.2000000000,166.6666666667
8,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836573562,49.3307965715,9.0909090909,15.1201742604,1.0000000000,1.2000000000,166.6666666667
9,100,0,9,100,100,0,0,4,500,5742,100,100,0.0838092832,49.2469872883,11.1111111111,15.2801689949,1.0000000000,1.2000000000,166.6666666667
10,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835476224,49.1634396659,9.0909090909,15.1201633831,1.0000000000,1.2000000000,166.6666666667
11,100,0,13,100,100,0,0,4,500,5734,100,100,0.0833222652,49.0801174006,7.6923076923,14.9601660369,1.0000000000,1.2000000000,166.6666666667
12,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834015069,48.9967158937,8.3333333333,15.0401665333,1.0000000000,1.2000000000,166.6666666667
13,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835101180,48.9132057757,9.0909090909,15.1201602078,1.0000000000,1.2000000000,166.6666666667
14,100,0,11,100,100,0,0,4,498,5738,100,100,0.0836512298,48.8295545459,9.0909090909,15.1201685467,1.0000000000,1.1984000000,166.8891855808
15,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835777164,48.7459768295,9.0909090909,15.1201678550,1.0000000000,1.2000000000,166.6666666667
16,100,0,13,100,100,0,0,4,500,5734,100,100,0.0833538860,48.6626229435,7.6923076923,14.9601735399,1.0000000000,1.2000000000,166.6666666667
17,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835290456,48.5790938978,9.0909090909,15.1201708029,1.0000000000,1.2000000000,166.6666666667
18,100,0,9,100,100,0,0,4,500,5742,100,100,0.0837668027,48.4953270951,11.1111111111,15.2801667968,1.0000000000,1.2000000000,166.6666666667
19,100,0,14,100,100,0,0,4,499,5732,100,100,0.0832137953,48.4121132998,7.1428571429,14.8801641628,1.0000000000,1.1992000000,166.7778519013
20,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835568175,48.3285564823,9.0909090909,15.1201672485,1.0000000000,1.2000000000,166.6666666667
21,100,0,12,100,100,0,0,4,500,5736,100,100,0.0835049414,48.2450515410,8.3333333333,15.0401711305,1.0000000000,1.2000000000,166.6666666667
22,100,0,13,100,100,0,0,4,500,5734,100,100,0.0833183307,48.1617332103,7.6923076923,14.9601617255,1.0000000000,1.2000000000,166.6666666667
23,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835229957,48.0782102146,9.0909090909,15.1201724036,1.0000000000,1.2000000000,166.6666666667
24,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834622103,47.9947480043,8.3333333333,15.0401637951,1.0000000000,1.2000000000,166.6666666667
25,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835642312,47.9111837731,9.0909090909,15.1201704977,1.0000000000,1.2000000000,166.6666666667
26,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835926450,47.8275911280,9.0909090909,15.1201685130,1.0000000000,1.2000000000,166.6666666667
27,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835341077,47.7440570203,9.0909090909,15.1201683090,1.0000000000,1.2000000000,166.6666666667
28,100,0,12,100,100,0,0,4,498,5736,100,100,0.0834205172,47.6606365031,8.3333333333,15.0401638871,1.0000000000,1.1984000000,166.8891855808
29,100,0,13,100,100,0,0,4,498,5734,100,100,0.0834883543,47.5771481488,7.6923076923,14.9601691944,1.0000000000,1.1984000000,166.8891855808
30,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835095113,47.4936386375,9.0909090909,15.1201671839,1.0000000000,1.2000000000,166.6666666667
31,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835669856,47.4100716519,9.0909090909,15.1201689747,1.0000000000,1.2000000000,166.6666666667
32,100,0,12,100,100,0,0,4,500,5736,100,100,0.0835146789,47.3265569730,8.3333333333,15.0401689233,1.0000000000,1.2000000000,166.6666666667
33,100,0,12,100,100,0,0,4,500,5736,100,100,0.0833787528,47.2431782203,8.3333333333,15.0401634673,1.0000000000,1.2000000000,166.6666666667
34,100,0,16,100,100,0,0,4,496,5728,100,100,0.0831037267,47.1600744936,6.2500000000,14.7201679523,1.0000000000,1.1968000000,167.1122994652
35,100,0,12,100,100,0,0,4,499,5736,100,100,0.0833894668,47.0766850267,8.3333333333,15.0401628193,1.0000000000,1.1992000000,166.7778519013
36,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835356496,46.9931493772,9.0909090909,15.1201694403,1.0000000000,1.2000000000,166.6666666667
37,100,0,17,100,100,0,0,4,496,5726,100,100,0.0830535747,46.9100958025,5.8823529412,14.6401687722,1.0000000000,1.1968000000,167.1122994652
38,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836628476,46.8264329549,9.0909090909,15.1201672350,1.0000000000,1.2000000000,166.6666666667
39,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834745899,46.7429583650,8.3333333333,15.0401672069,1.0000000000,1.2000000000,166.6666666667
40,100,0,13,100,100,0,0,4,500,5734,100,100,0.0833359491,46.6596224158,7.6923076923,14.9601637345,1.0000000000,1.2000000000,166.6666666667
41,100,0,14,100,100,0,0,4,497,5732,100,100,0.0833582778,46.5762641380,7.1428571429,14.8801692407,1.0000000000,1.1976000000,167.0006680027
42,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835951575,46.4926689805,9.0909090909,15.1201801999,1.0000000000,1.2000000000,166.6666666667
43,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835222844,46.4091466961,9.0909090909,15.1201672712,1.0000000000,1.2000000000,166.6666666667
44,100,0,13,100,100,0,0,4,499,5734,100,100,0.0834595521,46.3256871439,7.6923076923,14.9601688896,1.0000000000,1.1992000000,166.7778519013
45,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836615885,46.2420255554,10.0000000000,15.2001645379,1.0000000000,1.2000000000,166.6666666667
46,100,0,13,100,100,0,0,4,499,5734,100,100,0.0833247655,46.1587007900,7.6923076923,14.9601673400,1.0000000000,1.1992000000,166.7778519013
47,100,0,12,100,100,0,0,4,499,5736,100,100,0.0834579131,46.0752428768,8.3333333333,15.0401651620,1.0000000000,1.1992000000,166.7778519013
48,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834487058,45.9917941710,8.3333333333,15.0401719459,1.0000000000,1.2000000000,166.6666666667
49,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834397791,45.9083543919,8.3333333333,15.0401626352,1.0000000000,1.2000000000,166.6666666667
50,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835431838,45.8248112082,9.0909090909,15.1201689936,1.0000000000,1.2000000000,166.6666666667
51,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836720434,45.7411391648,10.0000000000,15.2001693341,1.0000000000,1.2000000000,166.6666666667
52,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835965430,45.6575426219,9.0909090909,15.1201674400,1.0000000000,1.2000000000,166.6666666667
53,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835190996,45.5740235222,9.0909090909,15.1201612207,1.0000000000,1.2000000000,166.6666666667
54,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834140538,45.4906094684,8.3333333333,15.0401677624,1.0000000000,1.2000000000,166.6666666667
55,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834368835,45.4071725850,8.3333333333,15.0401659051,1.0000000000,1.2000000000,166.6666666667
56,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836651708,45.3235074142,10.0000000000,15.2001687262,1.0000000000,1.2000000000,166.6666666667
57,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835131615,45.2399942527,9.0909090909,15.1201701721,1.0000000000,1.2000000000,166.6666666667
58,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834597733,45.1565344794,8.3333333333,15.0401672283,1.0000000000,1.2000000000,166.6666666667
59,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834112363,45.0731232431,8.3333333333,15.0401704865,1.0000000000,1.2000000000,166.6666666667
60,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834979527,44.9896252904,9.0909090909,15.1201670610,1.0000000000,1.2000000000,166.6666666667
61,100,0,13,100,100,0,0,4,497,5734,100,100,0.0834145372,44.9062107532,7.6923076923,14.9601646186,1.0000000000,1.1976000000,167.0006680027
62,100,0,12,100,100,0,0,4,500,5736,100,100,0.0835050729,44.8227056803,8.3333333333,15.0401702247,1.0000000000,1.2000000000,166.6666666667
63,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836159382,44.7390897421,10.0000000000,15.2001687254,1.0000000000,1.2000000000,166.6666666667
64,100,0,12,100,100,0,0,4,500,5736,100,100,0.0833946952,44.6556950469,8.3333333333,15.0401612363,1.0000000000,1.2000000000,166.6666666667
65,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835697888,44.5721252581,9.0909090909,15.1201726192,1.0000000000,1.2000000000,166.6666666667
66,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834969606,44.4886282975,8.3333333333,15.0401709159,1.0000000000,1.2000000000,166.6666666667
67,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836598346,44.4049684629,10.0000000000,15.2001666772,1.0000000000,1.2000000000,166.6666666667
68,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835608261,44.3214076368,9.0909090909,15.1201711933,1.0000000000,1.2000000000,166.6666666667
