Node,Death_Round
0,549
1,609
2,741
3,791
4,681
5,778
6,442
7,599
8,509
9,780
10,493
11,695
12,520
13,470
14,454
15,356
16,457
17,508
18,821
19,655
20,421
21,411
22,871
23,378
24,423
25,614
26,439
27,1050
28,440
29,1276
30,438
31,492
32,488
33,632
34,571
35,422
36,374
37,777
38,370
39,450
40,454
41,591
42,887
43,568
44,642
45,422
46,465
47,892
48,468
49,646
50,918
51,494
52,425
53,874
54,484
55,786
56,493
57,874
58,567
59,971
60,505
61,366
62,467
63,366
64,581
65,458
66,425
67,727
68,544
69,798
70,600
71,582
72,620
73,392
74,369
75,457
76,551
77,463
78,508
79,561
80,465
81,390
82,528
83,655
84,371
85,462
86,591
87,1052
88,601
89,338
90,896
91,467
92,503
93,661
94,469
95,795
96,781
97,714
98,613
99,554
