Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Selection_Iterations,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835777647,49.9164222353,9.0909090909,15.1201726444,1.0000000000,1.2000000000,166.6666666667
2,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835557561,49.8328664792,9.0909090909,15.1201656662,1.0000000000,1.2000000000,166.6666666667
3,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836408540,49.7492256252,10.0000000000,15.2001713801,1.0000000000,1.2000000000,166.6666666667
4,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836556198,49.6655700054,10.0000000000,15.2001632415,1.0000000000,1.2000000000,166.6666666667
5,100,0,11,100,100,0,0,4,499,5738,100,100,0.0836318347,49.5819381707,9.0909090909,15.1201737589,1.0000000000,1.1992000000,166.7778519013
6,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836129636,49.4983252071,9.0909090909,15.1201762843,1.0000000000,1.2000000000,166.6666666667
7,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834541956,49.4148710115,8.3333333333,15.0401680545,1.0000000000,1.2000000000,166.6666666667
8,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836573562,49.3312136553,9.0909090909,15.1201742604,1.0000000000,1.2000000000,166.6666666667
9,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836692527,49.2475444025,10.0000000000,15.2001662168,1.0000000000,1.2000000000,166.6666666667
10,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835330062,49.1640113963,9.0909090909,15.1201636462,1.0000000000,1.2000000000,166.6666666667
11,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834199828,49.0805914135,8.3333333333,15.0401648865,1.0000000000,1.2000000000,166.6666666667
12,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834857246,48.9971056889,9.0909090909,15.1201656125,1.0000000000,1.2000000000,166.6666666667
13,100,0,14,100,100,0,0,4,498,5732,100,100,0.0831223770,48.9139833119,7.1428571429,14.8801628178,1.0000000000,1.1984000000,166.8891855808
14,100,0,12,100,100,0,0,4,500,5736,100,100,0.0833829164,48.8306003956,8.3333333333,15.0401652557,1.0000000000,1.2000000000,166.6666666667
15,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835708347,48.7470295608,9.0909090909,15.1201671843,1.0000000000,1.2000000000,166.6666666667
16,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835984548,48.6634311060,9.0909090909,15.1201710318,1.0000000000,1.2000000000,166.6666666667
17,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835564217,48.5798746843,9.0909090909,15.1201676959,1.0000000000,1.2000000000,166.6666666667
18,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836314860,48.4962431983,9.0909090909,15.1201729686,1.0000000000,1.2000000000,166.6666666667
19,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836765704,48.4125666279,10.0000000000,15.2001676356,1.0000000000,1.2000000000,166.6666666667
20,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834910302,48.3290755977,9.0909090909,15.1201672212,1.0000000000,1.2000000000,166.6666666667
21,100,0,10,100,100,0,0,4,500,5740,100,100,0.0837089243,48.2453666734,10.0000000000,15.2001738682,1.0000000000,1.2000000000,166.6666666667
22,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836865477,48.1616801257,9.0909090909,15.1201873809,1.0000000000,1.2000000000,166.6666666667
23,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834582530,48.0782218727,8.3333333333,15.0401652744,1.0000000000,1.2000000000,166.6666666667
24,100,0,10,100,100,0,0,4,500,5740,100,100,0.0835680532,47.9946538195,10.0000000000,15.2001681336,1.0000000000,1.2000000000,166.6666666667
25,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835502503,47.9111035692,9.0909090909,15.1201686650,1.0000000000,1.2000000000,166.6666666667
26,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836295515,47.8274740177,9.0909090909,15.1201760208,1.0000000000,1.2000000000,166.6666666667
27,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834281799,47.7440458378,8.3333333333,15.0401583624,1.0000000000,1.2000000000,166.6666666667
28,100,0,10,100,100,0,0,4,500,5740,100,100,0.0837025510,47.6603432868,10.0000000000,15.2001698405,1.0000000000,1.2000000000,166.6666666667
29,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835057306,47.5768375563,9.0909090909,15.1201603087,1.0000000000,1.2000000000,166.6666666667
30,100,0,17,100,100,0,0,4,497,5726,100,100,0.0828025195,47.4940350368,5.8823529412,14.6401592301,1.0000000000,1.1976000000,167.0006680027
31,100,0,10,100,100,0,0,4,500,5740,100,100,0.0837056061,47.4103294306,10.0000000000,15.2001671428,1.0000000000,1.2000000000,166.6666666667
32,100,0,15,100,100,0,0,4,498,5730,100,100,0.0831618908,47.3271675398,6.6666666667,14.8001651789,1.0000000000,1.1984000000,166.8891855808
33,100,0,11,100,100,0,0,4,500,5738,100,100,0.0836324960,47.2435350439,9.0909090909,15.1201770444,1.0000000000,1.2000000000,166.6666666667
34,100,0,15,100,100,0,0,4,496,5730,100,100,0.0832231087,47.1603119352,6.6666666667,14.8001689452,1.0000000000,1.1968000000,167.1122994652
35,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834873270,47.0768246081,9.0909090909,15.1201625144,1.0000000000,1.2000000000,166.6666666667
36,100,0,12,100,100,0,0,4,499,5736,100,100,0.0834081835,46.9934164247,8.3333333333,15.0401621800,1.0000000000,1.1992000000,166.7778519013
37,100,0,13,100,100,0,0,4,500,5734,100,100,0.0832347573,46.9101816674,7.6923076923,14.9601585067,1.0000000000,1.2000000000,166.6666666667
38,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835489236,46.8266327438,9.0909090909,15.1201702194,1.0000000000,1.2000000000,166.6666666667
39,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834823630,46.7431503808,9.0909090909,15.1201667947,1.0000000000,1.2000000000,166.6666666667
40,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835706533,46.6595797275,9.0909090909,15.1201711690,1.0000000000,1.2000000000,166.6666666667
41,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835167535,46.5760629740,9.0909090909,15.1201663058,1.0000000000,1.2000000000,166.6666666667
42,100,0,14,100,100,0,0,4,500,5732,100,100,0.0831670309,46.4928959430,7.1428571429,14.8801605964,1.0000000000,1.2000000000,166.6666666667
43,100,0,18,100,100,0,0,4,494,5724,100,100,0.0829695329,46.4099264101,5.5555555556,14.5601691714,1.0000000000,1.1952000000,167.3360107095
44,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835038024,46.3264226077,9.0909090909,15.1201621623,1.0000000000,1.2000000000,166.6666666667
45,100,0,12,100,100,0,0,4,499,5736,100,100,0.0834354829,46.2429871249,8.3333333333,15.0401682366,1.0000000000,1.1992000000,166.7778519013
46,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835231073,46.1594640176,9.0909090909,15.1201721100,1.0000000000,1.2000000000,166.6666666667
47,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835411801,46.0759228375,9.0909090909,15.1201630556,1.0000000000,1.2000000000,166.6666666667
48,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834610780,45.9924617595,8.3333333333,15.0401678322,1.0000000000,1.2000000000,166.6666666667
49,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835115276,45.9089502319,9.0909090909,15.1201644726,1.0000000000,1.2000000000,166.6666666667
50,100,0,22,100,100,0,0,4,490,5716,100,100,0.0823025830,45.8266476489,4.5454545455,14.2401630002,1.0000000000,1.1920000000,167.7852348993
51,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834959327,45.7431517162,9.0909090909,15.1201655696,1.0000000000,1.2000000000,166.6666666667
52,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836109033,45.6595408130,10.0000000000,15.2001656843,1.0000000000,1.2000000000,166.6666666667
53,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834876893,45.5760531236,9.0909090909,15.1201589909,1.0000000000,1.2000000000,166.6666666667
54,100,0,14,100,100,0,0,4,500,5732,100,100,0.0832615093,45.4927916143,7.1428571429,14.8801672553,1.0000000000,1.2000000000,166.6666666667
55,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834522759,45.4093393385,8.3333333333,15.0401685146,1.0000000000,1.2000000000,166.6666666667
56,100,0,9,100,100,0,0,4,500,5742,100,100,0.0838265928,45.3255127457,11.1111111111,15.2801714503,1.0000000000,1.2000000000,166.6666666667
57,100,0,11,100,100,0,0,4,500,5738,100,100,0.0835315367,45.2419812089,9.0909090909,15.1201709103,1.0000000000,1.2000000000,166.6666666667
58,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834464112,45.1585347977,8.3333333333,15.0401685034,1.0000000000,1.2000000000,166.6666666667
59,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834031995,45.0751315982,8.3333333333,15.0401658938,1.0000000000,1.2000000000,166.6666666667
60,100,0,10,100,100,0,0,4,500,5740,100,100,0.0836473038,44.9914842945,10.0000000000,15.2001727612,1.0000000000,1.2000000000,166.6666666667
61,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834696485,44.9080146460,9.0909090909,15.1201595937,1.0000000000,1.2000000000,166.6666666667
62,100,0,9,100,100,0,0,4,500,5742,100,100,0.0837968417,44.8242178043,11.1111111111,15.2801679801,1.0000000000,1.2000000000,166.6666666667
63,100,0,13,100,100,0,0,4,499,5734,100,100,0.0833886023,44.7408292019,7.6923076923,14.9601693337,1.0000000000,1.1992000000,166.7778519013
64,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834109066,44.6574182954,8.3333333333,15.0401644515,1.0000000000,1.2000000000,166.6666666667
65,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834793823,44.5739389131,8.3333333333,15.0401702857,1.0000000000,1.2000000000,166.6666666667
66,100,0,13,100,100,0,0,4,499,5734,100,100,0.0833169277,44.4906219854,7.6923076923,14.9601656422,1.0000000000,1.1992000000,166.7778519013
67,100,0,12,100,100,0,0,4,500,5736,100,100,0.0834459855,44.4071760000,8.3333333333,15.0401673215,1.0000000000,1.2000000000,166.6666666667
68,100,0,11,100,100,0,0,4,500,5738,100,100,0.0834970079,44.3236789921,9.0909090909,15.1201642348,1.0000000000,1.2000000000,166.6666666667
