Node,Death_Round
0,2026
1,2006
2,1976
3,2001
4,2045
5,2076
6,1846
7,1948
8,1976
9,2066
10,2101
11,1831
12,1856
13,2036
14,1901
15,1956
16,2031
17,2026
18,2066
19,2076
20,1830
21,1976
22,2096
23,1816
24,2060
25,2006
26,2046
27,2076
28,1871
29,2095
30,1856
31,1971
32,1936
33,2089
34,1991
35,1645
36,1961
37,2041
38,1820
39,1841
40,1893
41,1811
42,2051
43,2071
44,1930
45,2061
46,1931
47,2066
48,2051
49,1911
50,2111
51,2021
52,1991
53,1960
54,2031
55,2071
56,1996
57,2086
58,1951
59,2071
60,2026
61,2070
62,1871
63,1916
64,2071
65,1981
66,1951
67,2076
68,2203
69,2056
70,2061
71,2101
72,2061
73,1961
74,2006
75,1761
76,2091
77,2056
78,1961
79,1968
80,2036
81,2101
82,2021
83,2001
84,1891
85,1921
86,1996
87,2105
88,1848
89,2006
90,1991
91,1976
92,1966
93,1781
94,1716
95,2084
96,2066
97,1931
98,1991
99,2066
