Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0369995484,49.9479754516,8.3333333333,15.0401732312,1.0000000000,0.8888000000,225.0225022502
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9270555495,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9061356473,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8852157452,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8642958431,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000
6,100,0,11,100,100,0,0,1,111,1267,100,100,0.0357292805,49.8285665626,9.0909090909,15.1201765726,1.0000000000,0.8888000000,225.0225022502
7,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.8078248031,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000
8,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.7870830436,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000
9,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.7663412841,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000
10,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.7455995246,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000
11,100,0,5,100,100,0,0,1,105,685,100,100,0.0306881554,49.7149113692,20.0000000000,15.6001930093,1.0000000000,0.8840000000,226.2443438914
12,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6928010428,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000
13,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6706907165,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000
14,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6485803902,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000
15,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.6264700639,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000
16,100,0,6,100,100,0,0,1,106,782,100,100,0.0312240700,49.5952459938,16.6666666667,15.5202124962,1.0000000000,0.8848000000,226.0397830018
17,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5736326200,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000
18,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5520192461,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000
19,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5304058722,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000
20,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,49.5087924984,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000
21,100,0,6,100,100,0,0,1,106,782,100,100,0.0317579409,49.4770345575,16.6666666667,15.5201869491,1.0000000000,0.8848000000,226.0397830018
22,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4549492804,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000
23,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4328640034,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000
24,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.4107787263,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000
25,100,0,6,100,100,0,0,0,0,0,100,100,0.0220852771,49.3886934492,16.6666666667,15.5201869491,1.0000000000,0.8000000000,250.0000000000
26,100,0,5,100,100,0,0,1,105,685,100,100,0.0306026863,49.3580907629,20.0000000000,15.6001849837,1.0000000000,0.8840000000,226.2443438914
27,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.3360612663,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000
28,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.3140317696,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000
29,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.2920022729,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000
30,100,0,5,100,100,0,0,0,0,0,100,100,0.0220294967,49.2699727763,20.0000000000,15.6001849837,1.0000000000,0.8000000000,250.0000000000
31,100,0,10,100,100,0,0,1,110,1170,100,100,0.0351763096,49.2347964667,10.0000000000,15.2002003967,1.0000000000,0.8880000000,225.2252252252
32,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.2135551883,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000
33,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.1923139100,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000
34,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.1710726316,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000
35,100,0,10,100,100,0,0,0,0,0,100,100,0.0212412784,49.1498313532,10.0000000000,15.2002003967,1.0000000000,0.8000000000,250.0000000000
36,100,0,3,100,100,0,0,1,103,491,100,100,0.0286687927,49.1211625605,33.3333333333,15.7601765007,1.0000000000,0.8824000000,226.6545784225
37,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0989086570,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000
38,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0766547535,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000
39,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0544008500,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000
40,100,0,3,100,100,0,0,0,0,0,100,100,0.0222539035,49.0321469465,33.3333333333,15.7601765007,1.0000000000,0.8000000000,250.0000000000
41,100,0,6,100,100,0,0,1,106,782,100,100,0.0320318426,49.0001151039,16.6666666667,15.5201899589,1.0000000000,0.8848000000,226.0397830018
42,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9777770274,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000
43,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9554389509,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000
44,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9331008744,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000
45,100,0,6,100,100,0,0,0,0,0,100,100,0.0223380765,48.9107627979,16.6666666667,15.5201899589,1.0000000000,0.8000000000,250.0000000000
46,100,0,9,100,100,0,0,1,109,1073,100,100,0.0339126801,48.8768501177,11.1111111111,15.2801758504,1.0000000000,0.8872000000,225.4283137962
47,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8557748435,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000
48,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8346995692,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000
49,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.8136242949,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000
50,100,0,9,100,100,0,0,0,0,0,100,100,0.0210752743,48.7925490206,11.1111111111,15.2801758504,1.0000000000,0.8000000000,250.0000000000
51,100,0,3,100,100,0,0,1,103,491,100,100,0.0306877341,48.7618612865,33.3333333333,15.7602224199,1.0000000000,0.8824000000,226.6545784225
52,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7377805343,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000
53,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.7136997820,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000
54,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.6896190298,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000
55,100,0,3,100,100,0,0,0,0,0,100,100,0.0240807522,48.6655382776,33.3333333333,15.7602224199,1.0000000000,0.8000000000,250.0000000000
56,100,0,6,100,100,0,0,1,106,782,100,100,0.0312529009,48.6342853767,16.6666666667,15.5201807564,1.0000000000,0.8848000000,226.0397830018
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.6126584676,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5910315586,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5694046496,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0216269090,48.5477777405,16.6666666667,15.5201807564,1.0000000000,0.8000000000,250.0000000000
61,100,0,3,100,100,0,0,1,103,491,100,100,0.0289662912,48.5188114493,33.3333333333,15.7602327905,1.0000000000,0.8824000000,226.6545784225
62,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4962797017,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000
63,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4737479542,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000
64,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4512162066,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000
65,100,0,3,100,100,0,0,0,0,0,100,100,0.0225317475,48.4286844591,33.3333333333,15.7602327905,1.0000000000,0.8000000000,250.0000000000
66,100,0,2,100,100,0,0,1,102,394,100,100,0.0289905313,48.3996939278,50.0000000000,15.8401513848,1.0000000000,0.8816000000,226.8602540835
67,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3761589885,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000
68,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3526240492,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000
69,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3290891100,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000
70,100,0,2,100,100,0,0,0,0,0,100,100,0.0235349393,48.3055541707,50.0000000000,15.8401513848,1.0000000000,0.8000000000,250.0000000000
71,100,0,4,100,100,0,0,1,104,588,100,100,0.0300638758,48.2754902949,25.0000000000,15.6802024938,1.0000000000,0.8832000000,226.4492753623
72,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2529584011,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000
73,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2304265074,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000
74,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.2078946136,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000
75,100,0,4,100,100,0,0,0,0,0,100,100,0.0225318938,48.1853627198,25.0000000000,15.6802024938,1.0000000000,0.8000000000,250.0000000000
76,100,0,1,100,100,0,0,1,101,297,100,100,0.0325922453,48.1527704746,100.0000000000,15.9203173949,1.0000000000,0.8808000000,227.0663033606
77,100,0,1,100,100,0,0,0,0,0,100,100,0.0277967221,48.1249737525,100.0000000000,15.9203173949,1.0000000000,0.8000000000,250.0000000000
