Node,Death_Round
0,2266
1,2176
2,1466
3,2238
4,2416
5,2221
6,2206
7,1786
8,2026
9,2440
10,2014
11,2461
12,1810
13,1816
14,2191
15,1891
16,2262
17,2371
18,2093
19,2281
20,2236
21,2341
22,1636
23,1936
24,1846
25,2191
26,1726
27,1681
28,2221
29,1991
30,2401
31,2086
32,2251
33,2281
34,2416
35,1871
36,1852
37,2146
38,1588
39,2324
40,1889
41,2386
42,2296
43,2476
44,2281
45,2089
46,2113
47,2341
48,2172
49,2326
50,1545
51,2293
52,2131
53,2386
54,2341
55,2160
56,2063
57,2221
58,2056
59,2371
60,2425
61,2026
62,2011
63,2071
64,1965
65,1976
66,1767
67,2026
68,2356
69,2221
70,2296
71,2446
72,2251
73,2354
74,1438
75,2368
76,1754
77,2206
78,2339
79,2251
80,2401
81,2266
82,1916
83,1548
84,2071
85,2203
86,2071
87,2341
88,1951
89,2217
90,2431
91,2041
92,1951
93,2236
94,2276
95,2401
96,2371
97,2371
98,2341
99,2281
