Node,Death_Round
0,2172
1,2161
2,1466
3,2056
4,1814
5,2191
6,2056
7,1756
8,1657
9,2221
10,2101
11,2294
12,2103
13,1786
14,2326
15,2161
16,2176
17,2236
18,2056
19,2056
20,2176
21,1966
22,1621
23,1876
24,1816
25,1951
26,1681
27,1696
28,1951
29,2386
30,1976
31,1935
32,2251
33,1951
34,2326
35,2274
36,2071
37,2311
38,2386
39,1891
40,1921
41,2217
42,2071
43,2348
44,2330
45,2131
46,1936
47,2296
48,1966
49,2308
50,1544
51,2191
52,2038
53,2247
54,2281
55,2401
56,2161
57,2011
58,2357
59,2236
60,2266
61,1786
62,2085
63,2146
64,2251
65,2266
66,2146
67,2101
68,1724
69,2187
70,2071
71,2017
72,2161
73,2258
74,1438
75,2251
76,1771
77,2341
78,2161
79,2161
80,2051
81,1966
82,2281
83,1741
84,1899
85,2311
86,2176
87,2221
88,1906
89,2155
90,2204
91,1996
92,1694
93,2221
94,2318
95,2372
96,2130
97,1961
98,1920
99,2234
