Round,Alive,Dead,CH_Count,Generated,Delivered,Lost,Unclustered,Was_Setup_Round,Control_TX,Control_RX,Data_TX,Data_RX,Energy_Used_J,Residual_Energy_J,Avg_Cluster_Size,Avg_Delay_ms,PDR,Round_Duration_s,Throughput_kbps,Backup_Promotions,Rejected_Promotions
1,100,0,12,100,100,0,0,1,111,1364,100,100,0.0369995484,49.9630004516,8.3333333333,15.0401732312,1.0000000000,0.8888000000,225.0225022502,0,0
2,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9420805495,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
3,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9211606473,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
4,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.9002407452,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
5,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8793208431,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
6,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8584009410,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
7,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8374810389,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
8,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.8165611368,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
9,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7956412347,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
10,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7747213325,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
11,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7538014304,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
12,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7328815283,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
13,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.7119616262,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
14,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.6910417241,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
15,100,0,12,100,100,0,0,0,0,0,100,100,0.0209199021,49.6701218220,8.3333333333,15.0401732312,1.0000000000,0.8000000000,250.0000000000,0,0
16,100,0,11,100,100,0,0,1,111,1267,100,100,0.0357292805,49.6343925414,9.0909090909,15.1201765726,1.0000000000,0.8888000000,225.0225022502,0,0
17,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.6136507819,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
18,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5929090224,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
19,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5721672629,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
20,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5514255034,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
21,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5306837439,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
22,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.5099419844,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
23,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.4892002249,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
24,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.4684584654,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
25,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.4477167059,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
26,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.4269749464,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
27,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.4062331869,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
28,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.3854914274,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
29,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.3647496679,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
30,100,0,11,100,100,0,0,0,0,0,100,100,0.0207417595,49.3440079084,9.0909090909,15.1201765726,1.0000000000,0.8000000000,250.0000000000,0,0
31,100,0,5,100,100,0,0,1,105,685,100,100,0.0306881554,49.3133197530,20.0000000000,15.6001930093,1.0000000000,0.8840000000,226.2443438914,0,0
32,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.2912094266,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
33,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.2690991003,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
34,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.2469887740,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
35,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.2248784477,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
36,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.2027681214,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
37,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.1806577951,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
38,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.1585474687,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
39,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.1364371424,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
40,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.1143268161,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
41,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.0922164898,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
42,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.0701061635,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
43,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.0479958371,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
44,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.0258855108,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
45,100,0,5,100,100,0,0,0,0,0,100,100,0.0221103263,49.0037751845,20.0000000000,15.6001930093,1.0000000000,0.8000000000,250.0000000000,0,0
46,100,0,6,100,100,0,0,1,106,782,100,100,0.0312240700,48.9725511145,16.6666666667,15.5202124962,1.0000000000,0.8848000000,226.0397830018,0,0
47,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.9509377406,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
48,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.9293243667,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
49,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.9077109929,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
50,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8860976190,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
51,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8644842451,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
52,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8428708713,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
53,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.8212574974,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
54,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7996441236,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
55,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7780307497,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
56,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7564173758,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
57,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7348040020,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
58,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.7131906281,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
59,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.6915772542,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
60,100,0,6,100,100,0,0,0,0,0,100,100,0.0216133739,48.6699638804,16.6666666667,15.5202124962,1.0000000000,0.8000000000,250.0000000000,0,0
