Node,Death_Round
0,2031
1,1996
2,2026
3,2006
4,2046
5,2031
6,1846
7,1983
8,1971
9,2056
10,1996
11,1831
12,1856
13,2051
14,1901
15,1956
16,2041
17,1997
18,2071
19,2070
20,1830
21,1966
22,2051
23,1816
24,2040
25,2001
26,2051
27,2056
28,1871
29,2084
30,1856
31,1981
32,1931
33,2064
34,1996
35,1645
36,1956
37,2046
38,1820
39,1841
40,1893
41,1811
42,2086
43,2076
44,1930
45,1949
46,1921
47,2051
48,2061
49,1911
50,2106
51,2011
52,1986
53,2076
54,2016
55,2116
56,1981
57,2111
58,1966
59,2041
60,2026
61,2054
62,1871
63,1916
64,2081
65,1981
66,1956
67,2074
68,2081
69,2066
70,2096
71,2049
72,2056
73,1966
74,2006
75,1761
76,2031
77,2031
78,1981
79,2091
80,2031
81,1968
82,2041
83,2011
84,1891
85,1921
86,1996
87,2101
88,1848
89,1991
90,1976
91,1976
92,1961
93,1781
94,1716
95,2081
96,2071
97,1931
98,1986
99,2036
